종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS
000210,DL,1976-02-02,59900,1255257451600,38368.0,2300850700.0,20955884.0,67178.0,4.58,0.89,13077.0,2.17,1300.0
004840,DRB동일,1976-05-21,5050,100845800000,4744.0,23753870.0,19930000.0,17702.0,41.75,0.29,121.0,0.99,50.0
155660,DSR,2013-05-15,5710,91360000000,116786.0,656648080.0,16000000.0,10087.0,10.23,0.57,558.0,0.88,50.0
078930,GS,2004-08-05,41350,3851342418100,350452.0,14462910200.0,92915378.0,88213.0,0.0,0.47,0.0,4.59,1900.0
001250,GS글로벌,1976-06-26,2365,195192351860,935636.0,2238085970.0,82533764.0,3465.0,0.0,0.68,0.0,0.0,0.0
039570,HDC랩스,2015-09-24,10650,276448450650,22598.0,238225850.0,25957601.0,9958.0,10.52,1.07,1012.0,3.76,400.0
011200,HMM,1995-10-05,29100,14231049333600,5206492.0,152410149150.0,489039496.0,5164.0,282.5,5.64,103.0,0.0,0.0
092220,KEC,2006-10-16,3000,433520682295,1453108.0,4319256430.0,144748141.0,1394.0,0.0,2.15,0.0,0.0,0.0
016380,KG동부제철,1986-02-03,10850,1085096532450,294202.0,3166313400.0,100008897.0,9715.0,16.23,1.12,668.0,0.92,100.0
001390,KG케미칼,1989-08-25,30050,415982880000,513545.0,15485899600.0,13866096.0,29370.0,8.95,1.02,3358.0,1.33,400.0
058860,KTis,2010-12-17,2320,80218610000,92128.0,211507175.0,34802000.0,4810.0,10.4,0.48,223.0,3.45,80.0
373220,LG에너지솔루션,2022-01-27,434000,101556000000000,880444.0,372750845500.0,234000000.0,34398.0,0.0,12.62,0.0,0.0,0.0
011070,LG이노텍,2008-07-24,320500,7597141347000,214462.0,68973629500.0,23667107.0,102576.0,32.12,3.12,9978.0,0.22,700.0
037560,LG헬로비전,2012-11-09,5090,392655605550,185957.0,936913375.0,77446865.0,8149.0,0.0,0.62,0.0,1.47,75.0
108670,LX하우시스,2009-04-20,54900,493221850000,55638.0,3072170100.0,8967670.0,83775.0,0.0,0.66,0.0,0.55,300.0
010060,OCI,1985-07-09,111000,2647280181000,665432.0,73500832500.0,23849371.0,98159.0,0.0,1.13,0.0,0.0,0.0
402340,SK스퀘어,2021-11-29,54100,7653395591100,1311510.0,71537021100.0,141467571.0,0.0,0.0,0.0,0.0,0.0,0.0
096770,SK이노베이션,2007-07-25,207500,19186604530000,442506.0,91465647500.0,92465564.0,155153.0,0.0,1.34,0.0,0.0,0.0
011810,STX,1990-09-12,4200,120066999530,484827.0,2052958440.0,28621454.0,1314.0,0.0,3.2,0.0,0.0,0.0
024070,WISCOM,1996-11-22,3115,47511957800,52692.0,163540240.0,15326438.0,7616.0,0.0,0.41,0.0,1.61,50.0
011420,갤럭시아에스엠,1989-11-14,2395,66119145600,211416.0,502752810.0,27549644.0,752.0,66.5,3.18,36.0,0.0,0.0
002100,경농,1977-06-30,12850,249888960000,205825.0,2644010600.0,19522575.0,8886.0,18.2,1.45,706.0,1.95,250.0
012320,경동인베스트,1997-03-07,34600,81356791200,3294.0,113746100.0,2365023.0,178373.0,4.97,0.19,6956.0,1.45,500.0
007690,국도화학,1989-08-05,55100,497386003200,92078.0,5092231700.0,9010616.0,71901.0,13.23,0.77,4165.0,2.18,1200.0
005320,국동,1996-12-24,2275,125600038200,210550.0,478820535.0,55208808.0,2309.0,4.97,0.99,458.0,2.2,50.0
014530,극동유화,1991-01-31,4315,149764158900,4090469.0,18049347685.0,34869420.0,4917.0,20.27,0.88,213.0,3.24,140.0
008350,남선알미늄,1978-05-22,2490,272693247750,3084169.0,7496902735.0,110179090.0,1716.0,26.2,1.45,95.0,0.0,0.0
353200,대덕전자,2020-05-21,24200,1195889585000,1268361.0,30748896750.0,49416925.0,12381.0,0.0,1.95,0.0,1.24,300.0
128820,대성산업,2010-07-30,4875,220296777860,2136153.0,10486137100.0,45235478.0,11151.0,3.45,0.44,1414.0,0.0,0.0
047040,대우건설,2001-03-23,6380,2651672430440,2314084.0,14681959800.0,415622638.0,6435.0,9.23,0.99,691.0,0.0,0.0
003090,대웅,1973-06-26,30250,1773330390000,65657.0,1994214000.0,58141980.0,11787.0,12.91,2.57,2343.0,0.33,100.0
145720,덴티움,2017-03-15,62200,687374343000,213640.0,13294011400.0,11068830.0,20715.0,23.8,3.0,2614.0,0.32,200.0
282690,동아타이어,2017-11-29,11550,157243021750,13657.0,156297150.0,13733015.0,26714.0,11.89,0.43,971.0,6.93,800.0
286940,롯데정보통신,2018-07-27,37100,569664247000,21384.0,789661700.0,15396331.0,26847.0,18.78,1.38,1975.0,1.89,700.0
008560,메리츠증권,1992-01-15,5980,4069931556630,2576478.0,15348503050.0,681730579.0,6178.0,6.91,0.97,865.0,5.35,320.0
017180,명문제약,2008-07-10,4040,136832419620,89671.0,357741950.0,33953454.0,2568.0,0.0,1.57,0.0,0.0,0.0
204210,모두투어리츠,2016-09-22,4665,36707762350,11516.0,54577505.0,7826815.0,,,,,,
003850,보령제약,1988-10-24,12750,875797500000,165357.0,2102543150.0,68690000.0,5367.0,28.02,2.38,455.0,0.78,100.0
001270,부국증권,1988-07-19,23400,242136838100,4147.0,97406450.0,10369886.0,41949.0,3.45,0.56,6784.0,5.13,1200.0
006400,삼성SDI,1979-02-27,547000,37545433380000,276434.0,151882517000.0,68764530.0,184387.0,63.66,2.97,8593.0,0.18,1000.0
028050,삼성엔지니어링,1996-12-24,23350,4576600000000,976444.0,22894249600.0,196000000.0,8167.0,18.69,2.86,1249.0,0.0,0.0
068290,삼성출판사,2002-08-05,28600,286500000000,69180.0,1983031500.0,10000000.0,14285.0,5.37,2.0,5322.0,0.7,200.0
003720,삼영화학공업,1976-06-30,3230,109650000000,193285.0,623247790.0,34000000.0,1297.0,538.5,2.49,6.0,0.0,0.0
010960,삼호개발,2005-05-12,4610,115500000000,50083.0,230410365.0,25000000.0,8443.0,5.75,0.55,802.0,4.12,190.0
001290,상상인증권,1988-09-23,1135,110181570950,165897.0,187504725.0,97505815.0,1799.0,42.03,0.63,27.0,0.0,0.0
136490,선진,2011-02-16,11050,262764624200,94512.0,1043684250.0,23779604.0,15558.0,3.14,0.71,3516.0,0.9,100.0
004490,세방전지,1987-11-28,64500,903000000000,23840.0,1535971400.0,14000000.0,79003.0,13.12,0.82,4916.0,0.78,500.0
016590,신대양제지,1995-12-21,94400,380411420800,4485.0,419601100.0,4029782.0,112846.0,8.81,0.84,10710.0,0.66,625.0
029530,신도리코,1996-12-24,31800,319536919300,21851.0,694976300.0,10080029.0,84179.0,0.0,0.38,0.0,0.0,0.0
293940,신한알파리츠,2018-08-08,7940,416547779080,147568.0,1171736990.0,52330123.0,,,,,,
055550,신한지주,2001-09-10,38200,19734102962800,1600718.0,61268705200.0,516599554.0,82515.0,5.74,0.46,6654.0,3.93,1500.0
003620,쌍용자동차,1975-05-29,2770,415056805540,0.0,0.0,149840002.0,0.0,0.0,0.0,0.0,0.0,0.0
078520,에이블씨엔씨,2011-09-07,6750,183016517430,33166.0,224736180.0,27033459.0,5784.0,0.0,1.17,0.0,0.0,0.0
012280,영화금속,1990-01-25,1360,72349554275,248325.0,333631850.0,53394505.0,1380.0,0.0,0.99,0.0,1.1,15.0
007310,오뚜기,1994-08-12,433000,1591803763500,2985.0,1293738500.0,3671981.0,381649.0,13.84,1.13,31296.0,1.85,8000.0
271560,오리온,2017-07-07,92100,3641277757200,120523.0,11087394200.0,39536132.0,46286.0,13.61,1.99,6769.0,0.81,750.0
105840,우진,2010-07-26,9580,196122875100,1944705.0,18910166990.0,20323614.0,7381.0,5.57,1.3,1719.0,1.04,100.0
008600,윌비스,1989-07-28,1335,89087751675,464864.0,614843075.0,67236039.0,1552.0,0.0,0.86,0.0,0.0,0.0
033270,유나이티드,2007-10-23,45450,739951642100,46322.0,2113039100.0,16244822.0,17045.0,25.33,2.67,1794.0,0.77,350.0
023800,인지컨트롤스,1997-06-23,12800,196265126400,71461.0,915218000.0,15333213.0,11640.0,0.0,1.1,0.0,0.78,100.0
129260,인터지스,2011-12-16,3400,101440250340,147294.0,499655065.0,29747874.0,6245.0,18.89,0.54,180.0,0.0,0.0
249420,일동제약,2016-08-31,55300,1384023303000,2964478.0,168331718600.0,24803285.0,10694.0,0.0,5.17,0.0,0.0,0.0
013360,일성건설,1989-12-02,3430,186115711600,737573.0,2512289035.0,54024880.0,1673.0,70.0,2.05,49.0,0.44,15.0
081000,일진다이아,2004-12-22,27000,384190473750,68526.0,1831627850.0,14202975.0,12787.0,52.84,2.11,511.0,1.11,300.0
033240,자화전자,1999-01-06,22250,396485000000,153629.0,3355538650.0,17900000.0,15221.0,0.0,1.46,0.0,0.0,0.0
271980,제일약품,2017-07-17,27100,398502031200,13110.0,353977900.0,14704872.0,11724.0,57.28,2.31,473.0,0.26,70.0
002620,제일파마홀딩스,1988-01-20,13150,209250950500,3191.0,42062500.0,15973355.0,25508.0,17.66,0.52,745.0,0.53,70.0
001550,조비,1976-12-28,20900,108517795100,100551.0,2112571750.0,5192239.0,9861.0,36.1,2.12,579.0,0.0,0.0
002600,조흥,1976-12-23,190000,113100000000,73.0,13813000.0,600000.0,222051.0,15.17,0.86,12528.0,3.16,6000.0
001630,종근당홀딩스,1976-06-30,68700,343175478500,2661.0,182320900.0,5009861.0,107821.0,4.37,0.64,15711.0,2.04,1400.0
071320,지역난방공사,2010-01-29,36100,417992658400,3054.0,109945650.0,11578744.0,155780.0,15.84,0.23,2279.0,2.67,965.0
120110,코오롱인더,2010-02-01,60800,1664905005500,225547.0,13571907900.0,27519091.0,73257.0,8.9,0.83,6834.0,1.64,1000.0
031820,콤텍시스템,1997-02-12,916,110762091390,286929.0,262138774.0,121051466.0,1163.0,0.0,0.79,0.0,0.0,0.0
020120,키다리스튜디오,1996-07-03,15350,531052381800,130602.0,1990408600.0,34709306.0,1469.0,3838.0,10.45,4.0,0.0,0.0
015890,태경산업,1996-01-30,6900,200509225000,89245.0,614706590.0,29228750.0,7968.0,37.1,0.87,186.0,3.48,240.0
004100,태양금속공업,1976-05-25,1335,48811000000,331256.0,435084995.0,36700000.0,2467.0,0.0,0.54,0.0,0.37,5.0
058430,포스코강판,2002-08-16,46550,279300000000,25331.0,1172246850.0,6000000.0,37210.0,44.1,1.25,1056.0,1.07,500.0
005430,한국공항,1976-12-28,44450,141852704000,4107.0,182507100.0,3166355.0,86072.0,0.0,0.52,0.0,0.0,0.0
168490,한국패러랠,2013-04-19,2200,176044000000,22360.0,49215725.0,80020000.0,,,,,,
009240,한샘,2002-07-16,73000,1715623351200,37331.0,2739679100.0,23533928.0,25832.0,19.38,2.83,3766.0,1.78,1300.0
009180,한솔로지스틱스,1989-11-13,3465,95209277625,141462.0,484575915.0,27477425.0,1989.0,10.97,1.74,316.0,1.44,50.0
002220,한일철강,1988-10-07,3395,90637876700,31207.0,106597365.0,26697460.0,5895.0,0.0,0.58,0.0,0.0,0.0
009460,한창제지,1987-12-23,2020,120229984290,224525.0,450677975.0,59667486.0,1587.0,11.41,1.27,177.0,0.99,20.0
088350,한화생명,2010-03-17,2935,2553478200000,1932504.0,5672779015.0,868530000.0,14584.0,15.95,0.2,184.0,1.02,30.0
000720,현대건설,1984-12-22,43700,4843975777500,528190.0,23001738300.0,111355765.0,57894.0,40.97,0.75,1067.0,1.37,600.0
042670,현대두산인프라코어,2001-02-02,6910,1362310338900,1445023.0,9991588590.0,197436281.0,7842.0,13.74,0.88,503.0,0.0,0.0
