종목코드,종목명,산업,섹터
096770,SK이노베이션,에너지,에너지
010950,S-Oil,에너지,에너지
267250,현대중공업지주,에너지,에너지
078930,GS,에너지,에너지
005090,SGC에너지,에너지,에너지
006120,SK디스커버리,에너지,에너지
001390,KG케미칼,에너지,에너지
041590,젬백스지오,에너지,에너지
002960,한국쉘석유,에너지,에너지
093230,이아이디,에너지,에너지
046120,오르비텍,에너지,에너지
322000,현대에너지솔루션,에너지,에너지
091090,세원이앤씨,에너지,에너지
137950,제이씨케미칼,에너지,에너지
099220,SDN,에너지,에너지
024060,흥구석유,에너지,에너지
128820,대성산업,에너지,에너지
014530,극동유화,에너지,에너지
003650,미창석유,에너지,에너지
013810,스페코,에너지,에너지
095910,에스에너지,에너지,에너지
000440,중앙에너비스,에너지,에너지
078940,코드네이처,에너지,에너지
294630,서남,에너지,에너지
270520,지엔원에너지,에너지,에너지
012320,경동인베스트,에너지,에너지
313760,윌링스,에너지,에너지
051910,LG화학,소재,소재
005490,POSCO,소재,소재
010130,고려아연,소재,소재
009830,한화솔루션,소재,소재
011170,롯데케미칼,소재,소재
004020,현대제철,소재,소재
003670,포스코케미칼,소재,소재
011780,금호석유,소재,소재
011790,SKC,소재,소재
010060,OCI,소재,소재
014680,한솔케미칼,소재,소재
086520,에코프로,소재,소재
285130,SK케미칼,소재,소재
004000,롯데정밀화학,소재,소재
001230,동국제강,소재,소재
298050,효성첨단소재,소재,소재
120110,코오롱인더,소재,소재
093370,후성,소재,소재
000210,DL,소재,소재
005070,코스모신소재,소재,소재
383310,에코프로에이치엔,소재,소재
005690,파미셀,소재,소재
178920,PI첨단소재,소재,소재
103140,풍산,소재,소재
006650,대한유화,소재,소재
298000,효성화학,소재,소재
069260,휴켐스,소재,소재
014830,유니드,소재,소재
121600,나노신소재,소재,소재
007690,국도화학,소재,소재
004430,송원산업,소재,소재
078130,국일제지,소재,소재
016380,KG동부제철,소재,소재
014820,동원시스템즈,소재,소재
161000,애경케미칼,소재,소재
084010,대한제강,소재,소재
102710,이엔에프테크놀로지,소재,소재
089010,켐트로닉스,소재,소재
002840,미원상사,소재,소재
005420,코스모화학,소재,소재
151860,KG ETS,소재,소재
104830,원익머트리얼즈,소재,소재
003240,태광산업,소재,소재
104480,티케이케미칼,소재,소재
005950,이수화학,소재,소재
008350,남선알미늄,소재,소재
001430,세아베스틸,소재,소재
139990,아주스틸,소재,소재
008730,율촌화학,소재,소재
002310,아세아제지,소재,소재
213500,한솔제지,소재,소재
025860,남해화학,소재,소재
003030,세아제강지주,소재,소재
004890,동일산업,소재,소재
055490,테이팩스,소재,소재
033500,동성화인텍,소재,소재
104700,한국철강,소재,소재
115390,락앤락,소재,소재
268280,미원에스씨,소재,소재
220260,켐트로스,소재,소재
016590,신대양제지,소재,소재
001780,알루코,소재,소재
101360,이엔드디,소재,소재
281740,레이크머티리얼즈,소재,소재
034810,해성산업,소재,소재
012610,경인양행,소재,소재
100130,동국S&C,소재,소재
081000,일진다이아,소재,소재
002240,고려제강,소재,소재
009520,포스코엠텍,소재,소재
251370,와이엠티,소재,소재
239890,피엔에이치테크,소재,소재
002030,아세아,소재,소재
006110,삼아알미늄,소재,소재
002810,삼영무역,소재,소재
006380,카프로,소재,소재
069460,대호에이엘,소재,소재
004560,현대비앤지스틸,소재,소재
017890,한국알콜,소재,소재
005810,풍산홀딩스,소재,소재
102260,동성케미컬,소재,소재
004090,한국석유,소재,소재
058430,포스코강판,소재,소재
014160,대영포장,소재,소재
115960,연우,소재,소재
247660,나노씨엠에스,소재,소재
011500,한농화성,소재,소재
138490,코오롱플라스틱,소재,소재
306200,세아제강,소재,소재
001940,KISCO홀딩스,소재,소재
008970,동양철관,소재,소재
002710,TCC스틸,소재,소재
042040,케이피엠테크,소재,소재
001340,백광산업,소재,소재
009190,대양금속,소재,소재
000970,한국주철관,소재,소재
000180,성창기업지주,소재,소재
004150,한솔홀딩스,소재,소재
004540,깨끗한나라,소재,소재
107590,미원홀딩스,소재,소재
033310,엠투엔,소재,소재
024090,디씨엠,소재,소재
018470,조일알미늄,소재,소재
001570,금양,소재,소재
012800,대창,소재,소재
006840,AK홀딩스,소재,소재
290380,대유,소재,소재
002360,SH에너지화학,소재,소재
025000,KPX케미칼,소재,소재
036620,감성코퍼레이션,소재,소재
081150,티플랙스,소재,소재
003720,삼영화학,소재,소재
009580,무림P&P,소재,소재
272550,삼양패키징,소재,소재
005160,동국산업,소재,소재
023600,삼보판지,소재,소재
011280,태림포장,소재,소재
100250,진양홀딩스,소재,소재
036640,HRS,소재,소재
251970,펌텍코리아,소재,소재
083420,그린케미칼,소재,소재
023450,동남합성,소재,소재
124500,아이티센,소재,소재
037370,EG,소재,소재
005010,휴스틸,소재,소재
