종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
089860,2.75,4.94,25.16,7.38,-23.09,
050890,0.47,6.16,11.93,2.08,-6.45,-29.26
195940,-0.68,5.93,9.64,-14.62,-29.7,
010620,2.13,3.95,19.12,18.26,7.94,53.67
033240,-1.81,0.23,-4.62,21.91,31.12,27.27
036200,-1.69,4.95,-11.41,-9.69,-18.82,-7.54
030190,-3.65,-1.07,-1.6,7.56,-14.35,-16.1
271560,-2.6,-6.54,-7.41,-7.31,-28.0,-33.09
006260,2.5,7.68,2.5,4.17,-21.59,-29.38
210980,0.33,6.38,17.3,9.01,-18.71,-15.13
216080,-5.31,-4.39,10.11,-9.05,-40.7,-0.76
085620,-0.25,3.17,9.72,3.17,-6.23,-0.25
145720,0.93,37.96,35.73,41.04,-13.8,25.58
271980,-0.9,5.57,1.48,-9.39,-29.31,-36.78
034120,-1.27,-0.7,4.15,-3.39,-17.09,80.55
290670,2.12,12.5,-8.61,77.3,50.21,43.51
031980,-2.66,2.45,-2.01,26.84,12.26,75.24
383310,-2.91,19.12,17.39,-31.19,-43.19,
003850,-0.39,5.35,6.67,-11.11,-22.89,-25.83
137400,1.51,15.54,19.19,-1.26,80.15,81.54
011930,1.66,12.58,5.46,2.23,-19.34,-41.93
237880,0.21,2.74,51.24,40.35,12.47,27.15
066970,-2.94,9.94,17.3,-11.73,76.47,174.86
047050,0.47,6.42,5.9,15.24,-1.37,-4.22
071050,-1.12,1.15,9.1,5.05,-15.76,-14.02
019680,-1.1,1.69,1.98,0.56,-15.95,-3.48
298540,-3.85,-4.63,27.04,23.02,-3.31,36.45
151910,-0.24,12.24,-7.17,-35.14,-27.14,-41.96
068240,1.87,8.11,5.08,0.0,45.63,55.47
003540,1.12,11.04,8.71,-3.47,-4.49,29.75
104700,2.85,7.57,15.45,19.75,-11.89,7.97
000660,-3.49,1.63,3.32,9.21,19.71,-16.16
041510,0.67,7.09,28.18,12.18,3.71,146.73
363280,-0.72,4.77,18.57,18.83,-9.41,11.59
099320,1.79,12.24,7.7,9.08,-18.45,-35.08
033270,0.44,0.99,-0.11,-6.44,-13.09,-11.41
001200,-0.89,1.36,12.44,-2.19,-15.64,-13.57
053610,-2.15,1.55,-10.59,29.61,10.06,-1.34
042700,-0.74,1.51,-8.67,3.37,-3.3,51.12
003060,-0.89,7.73,5.69,-7.25,-30.97,-31.28
123890,2.81,6.07,7.1,-3.87,-13.79,-2.66
029960,1.14,4.04,0.63,-4.08,-9.51,-7.74
293780,-3.61,6.9,-10.78,-26.83,-52.85,-12.81
071840,0.42,5.01,14.22,3.43,-23.85,-35.13
020000,-1.79,1.71,6.57,1.71,-7.27,-6.67
181710,-3.63,6.07,5.14,-24.08,-1.96,-1.11
122990,1.85,8.91,4.27,16.65,-7.56,-23.34
376980,0.61,10.0,10.0,5.43,-7.82,
032820,-1.83,20.79,14.67,35.22,2.14,72.0
035720,-1.97,5.22,11.41,-22.38,-36.66,-2.62
126560,-1.97,9.69,11.66,-10.0,-14.14,-0.93
334970,-0.95,1.11,-7.37,-33.73,-51.4,
084370,-1.97,4.81,-6.09,-6.68,2.41,8.63
141080,-4.3,6.33,-0.78,-9.09,-20.11,-18.2
178320,1.74,7.49,-9.17,-10.67,-5.76,-15.91
063080,-4.85,5.29,-13.66,-29.72,303.63,254.32
000210,-0.82,1.68,8.59,8.39,-13.78,-30.63
089590,-3.6,-1.71,33.11,27.22,-4.29,-5.73
088800,0.0,13.5,0.0,-14.02,-31.21,-50.76
054210,-2.17,-1.86,10.49,41.07,96.76,95.06
013580,2.62,8.63,20.03,16.64,4.65,28.77
206650,-3.16,7.93,-34.93,-35.53,-41.32,36.11
016580,0.0,5.78,5.14,3.57,-10.77,-10.77
079160,0.19,5.84,23.19,17.41,-11.74,-7.39
247540,-1.45,18.8,17.82,-28.82,19.75,133.01
029780,-1.38,0.31,4.2,-0.62,-5.56,0.94
005090,-0.7,10.94,12.25,33.18,22.41,46.58
003380,-0.96,5.1,15.34,14.19,5.64,14.57
037560,2.54,5.85,13.64,-3.67,-33.96,12.54
302440,-2.01,6.57,-11.52,-47.95,-48.95,
026960,-0.73,4.23,7.11,-14.51,-5.9,-34.22
373220,-1.95,2.88,-4.78,,,
031330,-1.33,5.42,3.03,-1.09,-19.11,55.32
081660,-1.27,9.19,20.24,0.29,-20.79,-15.54
036540,-1.33,4.39,2.46,8.12,-1.33,-25.08
002030,-1.31,5.24,13.16,25.42,12.73,62.18
003240,-1.55,1.6,1.3,10.68,-3.79,7.74
009450,0.77,2.93,-5.68,-12.88,-32.27,-9.96
001800,-1.06,0.0,0.36,-4.42,-12.19,-0.35
048410,-9.73,11.88,13.23,6.63,-4.49,-36.63
161890,-1.65,-1.54,29.11,21.08,-6.18,-21.13
039490,-0.96,6.59,16.95,6.15,-11.16,-23.05
059090,0.42,12.09,1.26,-8.71,-18.58,-19.93
093370,0.5,6.28,6.28,-15.24,41.96,96.14
111770,-1.41,2.07,-9.89,8.13,1.58,1.82
243840,-4.51,0.57,-5.2,-4.51,-37.84,16.52
316140,-1.41,-2.11,-4.78,10.71,24.55,42.06
007070,-1.47,2.49,-0.56,-5.13,-20.94,-26.17
008560,-2.28,0.5,-1.48,20.56,14.48,58.78
053210,-0.47,1.54,5.42,-0.81,-15.67,1.06
003100,0.5,-0.82,-2.26,10.99,18.59,100.33
100790,2.73,17.83,44.32,37.69,25.57,93.69
001450,0.36,-2.6,10.61,22.39,7.85,29.72
035890,0.6,5.71,6.39,10.26,-16.12,7.77
213420,-2.72,11.8,-2.94,-25.5,-39.14,-6.15
005420,0.0,12.5,14.74,2.49,-28.54,14.29
001440,-7.3,2.1,-12.84,-14.77,-37.5,51.93
004700,-1.17,1.61,-0.39,-3.44,-4.35,-5.42
003070,1.42,7.5,13.16,3.86,1.9,3.12
060980,0.0,1.59,2.85,-4.49,-9.3,-1.66
010130,3.26,8.37,11.98,15.5,12.2,37.02
330590,1.08,2.19,8.11,2.94,-3.28,12.22
033160,0.0,9.41,2.61,-12.53,-40.3,35.93
051910,-4.12,-2.55,-16.28,-22.91,-32.11,-39.89
102710,-1.87,4.15,-5.25,5.48,-10.12,-35.46
034020,2.12,19.89,22.6,18.33,11.86,102.54
285490,-2.86,4.03,-9.22,9.98,13.32,5.4
000020,0.39,6.58,10.68,-14.8,-13.38,-10.38
248070,-1.72,3.85,0.88,-0.65,-17.77,-2.55
214450,-1.25,1.16,15.52,12.82,-12.73,49.66
002780,0.23,8.82,15.93,14.14,-3.9,-14.62
205470,-3.74,2.66,-32.04,0.0,17.33,222.74
042420,-6.35,8.26,-17.29,-33.21,90.66,64.4
235980,-2.68,8.68,4.31,-22.93,-39.9,-56.89
281740,-1.13,6.67,1.16,13.09,-5.8,33.01
352820,-0.18,-1.77,17.3,-23.73,-3.14,32.46
131970,-2.46,-2.02,-5.72,2.71,-15.57,-11.64
033290,-1.76,-0.89,-2.74,5.83,-2.99,32.2
215000,-0.59,3.42,-5.26,-8.9,8.76,134.0
012750,0.0,7.41,6.93,-1.36,-10.71,-12.65
299660,-3.69,5.32,-12.47,-37.21,-73.9,-10.91
033640,-1.52,6.0,-5.36,-7.02,-17.66,-28.2
139990,-0.31,6.54,-0.91,-10.19,-45.94,
120110,-1.47,-0.17,-1.63,-14.37,-21.31,13.8
016710,0.39,0.79,6.58,15.65,28.95,80.53
088350,-1.32,1.36,1.36,7.39,-13.62,-5.1
011070,-2.17,4.49,-4.53,10.84,63.44,62.26
006730,-0.22,5.08,2.71,9.48,6.22,18.29
058650,1.85,10.0,7.84,6.8,2.33,47.45
011690,0.0,0.0,0.0,0.0,0.0,0.0
104480,5.19,5.0,12.64,34.09,-6.67,85.49
034310,0.3,-1.49,-2.07,6.09,-9.81,-3.5
114090,1.03,2.44,10.94,25.64,-5.47,-10.64
002270,-1.69,0.63,0.79,0.16,-26.07,-17.78
214370,0.0,0.0,-7.86,-5.94,-20.49,-14.08
009150,-2.93,1.53,-7.02,-0.6,-7.8,-15.56
200130,-1.24,3.62,22.81,22.39,-11.17,-30.08
218410,1.56,6.74,-2.98,-10.94,-10.53,-20.55
005440,0.23,3.0,12.17,7.26,-11.01,-6.75
383800,-0.41,2.51,4.03,12.37,0.72,
072710,-0.54,-0.41,-0.67,-0.27,-2.9,-0.41
099430,5.45,4.63,28.13,32.52,,
086900,-1.43,6.7,7.9,-0.76,-28.25,-30.85
053580,-1.22,4.74,2.75,-0.21,-24.3,-33.69
145990,-0.94,5.4,-14.45,-13.61,-16.08,-8.19
020120,-1.92,4.07,9.25,3.02,1.32,34.65
068760,-2.62,13.03,12.35,-20.39,-43.54,-40.85
051370,-3.36,3.89,17.61,57.14,44.4,34.05
108230,-1.34,1.76,-2.65,9.49,-19.6,-36.88
017940,0.31,-1.54,6.66,7.61,-11.35,19.23
077500,-0.44,0.9,0.45,19.68,7.66,-3.02
307750,-0.34,17.09,1.98,-36.91,3.91,32.22
222800,-1.32,7.36,11.7,30.43,60.55,120.59
037270,0.14,0.55,17.5,-12.44,-12.76,20.63
001390,0.17,6.75,13.61,3.44,-9.9,4.16
001120,6.21,15.3,30.25,36.72,17.22,15.72
042600,-2.59,26.36,22.86,-9.78,77.17,125.35
252990,-1.98,1.74,3.71,9.17,-13.34,
043150,0.65,11.64,18.63,18.45,-5.36,47.16
005940,-1.26,2.17,3.07,-4.86,-9.96,3.98
348210,0.0,8.07,-5.26,26.59,6.86,-23.2
298000,-1.74,7.81,20.68,15.04,-28.89,25.78
006400,-4.17,2.33,-9.59,-23.26,-30.98,-25.0
002840,0.0,-2.36,2.47,-9.02,-8.58,21.9
121440,1.67,6.92,3.16,-3.74,-4.06,41.43
028050,5.17,14.64,18.1,22.65,20.62,91.35
019210,3.5,8.65,23.16,53.67,11.79,63.68
082920,-0.7,-2.76,-0.35,7.63,-9.62,-7.84
064760,-2.67,2.82,-8.48,-19.31,-30.6,-27.4
095610,-0.78,1.8,3.03,-0.58,-6.93,-16.67
222080,1.39,13.67,-1.69,2.83,6.99,-2.68
015750,-1.81,4.06,-3.27,-3.27,-21.24,-27.78
036830,-3.33,4.31,-0.17,-17.24,-12.24,-35.59
048870,-0.78,6.39,-0.52,-8.59,-4.25,23.75
344820,0.0,2.99,0.69,10.59,-16.19,28.71
240810,-1.47,1.65,-3.27,-5.26,-19.5,-26.25
371950,-6.92,,,,,
137310,0.91,3.34,-7.93,-4.62,8.79,
000150,4.56,31.8,30.43,16.13,40.78,160.6
140860,-2.8,-1.5,-2.07,-18.28,-2.72,-5.68
194480,-2.56,1.96,-18.08,-43.24,-19.35,-6.24
067000,2.06,18.99,15.34,0.72,34.92,71.31
047820,0.39,7.93,10.23,-23.63,4.02,6.82
077360,3.45,13.92,4.05,29.03,23.71,25.0
042670,0.86,8.66,19.76,-5.13,-25.85,3.96
291230,-3.81,5.77,-3.71,-46.26,23.03,213.76
053030,0.0,25.82,7.34,-1.29,-22.86,-42.4
086520,0.0,32.68,45.71,-24.38,-0.03,115.21
002320,0.0,6.28,7.25,5.9,-24.1,-33.33
271940,-2.83,-0.25,-0.13,-32.1,,
041140,-5.44,32.94,28.77,49.17,99.12,49.67
213500,-0.39,3.69,9.05,-3.07,-28.53,-5.6
000880,0.0,8.85,6.27,5.03,-10.43,2.62
064290,-0.2,-5.06,-11.52,10.7,3.89,5.62
139130,0.0,-1.41,-1.41,1.68,-1.62,27.45
096770,-0.24,8.44,-1.85,9.0,-11.11,-21.48
078160,-0.97,7.33,16.15,5.67,-23.93,-41.93
138490,0.9,14.56,11.39,-6.25,60.94,86.57
272290,-2.73,6.47,-15.25,12.93,-0.7,82.13
005810,1.03,3.89,6.91,7.89,2.8,18.55
377190,0.19,-0.37,2.69,2.88,,
073240,2.26,6.81,-0.61,3.55,-31.89,1.37
002990,-0.45,11.0,10.45,2.3,-8.64,23.88
017670,2.73,4.44,0.0,3.49,12.53,29.72
001530,4.42,20.09,19.27,-5.82,-25.87,53.43
025860,3.45,6.71,19.05,5.53,-4.98,20.69
104830,-2.76,-6.75,-2.22,13.71,4.6,-3.42
078600,-3.8,5.99,0.8,-27.22,60.91,116.12
086450,-1.88,1.21,4.25,6.38,-12.39,-28.23
000050,-2.04,0.0,2.86,10.77,7.46,21.52
007660,-1.69,-1.41,4.33,35.2,89.12,127.76
395400,0.96,1.61,4.13,6.23,,
298050,-0.98,14.77,19.39,-15.55,-12.48,72.35
035080,-2.35,-3.01,34.49,19.3,-37.86,16.2
017800,1.04,6.72,7.61,-1.14,-22.66,-11.59
041190,-3.28,6.61,15.07,-10.38,6.08,79.62
091810,-1.85,6.8,15.17,22.08,-7.62,19.14
298870,1.18,4.49,2.74,,,
019170,8.97,57.08,60.04,16.26,-43.75,-54.73
323410,0.21,3.84,18.78,-25.76,-41.61,
189300,-2.01,5.61,8.51,8.51,46.47,0.6
032640,0.76,0.76,2.7,-1.85,-5.67,9.02
206560,-2.14,10.48,-1.67,-45.2,67.07,205.8
000370,1.45,6.87,18.31,21.21,-3.78,12.0
084110,-2.43,2.38,-5.78,-18.85,-54.65,13.9
035510,0.84,6.21,7.49,5.9,-19.51,29.14
004980,2.94,14.29,-10.54,32.08,40.42,73.7
004020,0.36,6.69,6.56,11.73,-14.27,0.73
090430,-1.34,0.0,18.71,17.2,-16.55,-23.01
064960,-2.35,3.56,0.23,4.68,-18.5,-32.72
085370,0.43,14.84,30.03,60.0,30.03,148.68
042000,-2.9,2.81,-4.29,-16.6,-47.99,-41.57
005930,-1.92,0.0,-2.46,0.28,-4.16,-16.18
018880,-2.94,-1.28,8.45,-10.81,-28.92,-28.26
012630,1.14,6.28,12.43,-17.85,-30.18,-28.29
196170,-1.91,11.88,17.71,-17.76,-32.74,-37.78
005300,0.96,-3.35,7.82,20.99,13.21,33.76
078340,-4.23,3.64,-7.88,-28.48,7.35,-22.81
293490,-3.97,5.22,10.5,-26.37,-14.99,29.41
030530,-1.92,1.88,0.0,4.78,-16.82,-27.9
004370,0.32,-5.07,-4.33,12.98,3.87,9.96
084680,-1.07,6.94,8.45,19.07,-18.09,-33.81
060250,-1.84,2.56,0.42,-19.69,-18.98,-20.13
083450,-0.3,3.62,-9.74,1.39,15.44,60.88
122870,1.24,7.55,33.67,17.59,5.48,42.24
006040,1.18,-0.7,-2.28,1.42,-12.65,-17.05
194370,-0.74,10.0,18.98,38.56,38.21,120.9
008770,0.62,1.12,12.78,15.01,-8.97,-2.64
046440,-0.56,6.37,1.72,4.24,-11.94,-13.24
139480,-1.46,11.11,2.27,-5.59,-24.16,-22.19
039030,-1.18,2.66,-5.01,-1.86,-17.02,-3.92
011040,-0.89,8.25,10.4,-2.19,2.29,14.95
