종목코드,지수코드,지수명,날짜
005930,1028,코스피 200,20220224
000660,1028,코스피 200,20220224
207940,1028,코스피 200,20220224
035420,1028,코스피 200,20220224
035720,1028,코스피 200,20220224
051910,1028,코스피 200,20220224
005380,1028,코스피 200,20220224
006400,1028,코스피 200,20220224
000270,1028,코스피 200,20220224
105560,1028,코스피 200,20220224
005490,1028,코스피 200,20220224
323410,1028,코스피 200,20220224
012330,1028,코스피 200,20220224
068270,1028,코스피 200,20220224
055550,1028,코스피 200,20220224
066570,1028,코스피 200,20220224
028260,1028,코스피 200,20220224
096770,1028,코스피 200,20220224
377300,1028,코스피 200,20220224
034730,1028,코스피 200,20220224
011200,1028,코스피 200,20220224
086790,1028,코스피 200,20220224
051900,1028,코스피 200,20220224
015760,1028,코스피 200,20220224
259960,1028,코스피 200,20220224
009150,1028,코스피 200,20220224
032830,1028,코스피 200,20220224
017670,1028,코스피 200,20220224
352820,1028,코스피 200,20220224
003550,1028,코스피 200,20220224
033780,1028,코스피 200,20220224
018260,1028,코스피 200,20220224
090430,1028,코스피 200,20220224
316140,1028,코스피 200,20220224
302440,1028,코스피 200,20220224
003490,1028,코스피 200,20220224
036570,1028,코스피 200,20220224
010130,1028,코스피 200,20220224
329180,1028,코스피 200,20220224
034020,1028,코스피 200,20220224
010950,1028,코스피 200,20220224
000810,1028,코스피 200,20220224
251270,1028,코스피 200,20220224
003670,1028,코스피 200,20220224
361610,1028,코스피 200,20220224
030200,1028,코스피 200,20220224
024110,1028,코스피 200,20220224
402340,1028,코스피 200,20220224
011170,1028,코스피 200,20220224
011070,1028,코스피 200,20220224
034220,1028,코스피 200,20220224
086280,1028,코스피 200,20220224
018880,1028,코스피 200,20220224
009540,1028,코스피 200,20220224
326030,1028,코스피 200,20220224
009830,1028,코스피 200,20220224
032640,1028,코스피 200,20220224
097950,1028,코스피 200,20220224
035250,1028,코스피 200,20220224
006800,1028,코스피 200,20220224
138040,1028,코스피 200,20220224
021240,1028,코스피 200,20220224
010140,1028,코스피 200,20220224
004020,1028,코스피 200,20220224
011790,1028,코스피 200,20220224
011780,1028,코스피 200,20220224
000720,1028,코스피 200,20220224
071050,1028,코스피 200,20220224
161390,1028,코스피 200,20220224
028050,1028,코스피 200,20220224
005830,1028,코스피 200,20220224
000100,1028,코스피 200,20220224
020150,1028,코스피 200,20220224
