종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
095570,0.34,3.99,1.7,-12.55,-11.39,19.32,20230111
006840,0.61,1.85,-4.61,34.55,6.43,-12.2,20230111
054620,0.0,-7.24,5.08,42.48,70.47,16.45,20230111
265520,0.79,1.86,1.32,16.06,17.85,-20.7,20230111
211270,3.57,4.75,-4.25,17.34,-7.31,-27.76,20230111
027410,0.35,3.37,5.66,33.59,4.0,-14.44,20230111
282330,0.0,-4.05,-7.56,10.5,0.53,37.82,20230111
138930,-0.44,4.58,-6.55,11.02,5.55,-22.16,20230111
001460,0.13,1.08,2.18,-0.79,-7.28,-23.99,20230111
001465,0.35,0.0,0.35,1.07,-8.71,-27.44,20230111
001040,-0.36,0.0,4.17,18.88,8.55,2.74,20230111
035760,1.42,-1.19,3.2,32.45,3.41,-25.15,20230111
00104K,-0.94,1.1,3.36,15.13,6.34,5.43,20230111
000120,0.56,2.28,-0.11,14.12,-20.27,-28.81,20230111
011150,-1.2,7.13,19.31,27.36,6.96,-13.25,20230111
011155,-3.29,-3.79,8.98,10.28,-1.93,-23.35,20230111
001045,0.1,0.51,-2.1,4.71,4.26,-0.41,20230111
097950,0.29,-1.86,-9.03,-13.94,-14.05,-10.69,20230111
097955,0.0,0.6,-1.76,0.3,1.21,-3.19,20230111
051500,0.48,1.63,-5.45,3.65,-8.64,12.43,20230111
058820,1.83,3.25,1.14,5.2,-14.42,-37.06,20230111
023460,0.94,-0.56,3.28,2.49,49.44,13.59,20230111
065770,1.9,3.55,1.58,15.47,-23.02,-59.0,20230111
000590,0.65,8.6,2.31,17.46,4.21,-4.62,20230111
012030,0.0,8.83,4.1,17.57,11.07,-8.68,20230111
367340,-0.25,0.25,-0.25,-3.12,-5.4,-4.73,20230111
367360,0.0,0.5,-0.98,-3.59,-6.06,-4.28,20230111
016610,0.36,3.55,-9.52,-2.87,-13.05,-36.39,20230111
005830,-0.92,0.31,3.51,19.56,7.28,1.41,20230111
000990,0.23,10.8,5.76,11.79,8.09,-43.46,20230111
000995,3.9,4.99,-3.73,-7.2,-6.0,-20.02,20230111
139130,-0.27,4.84,-6.95,5.14,-1.87,-23.97,20230111
000210,0.16,5.37,-6.75,3.58,-5.74,-7.6,20230111
001880,0.0,-0.7,-3.4,-5.02,-30.05,-55.35,20230111
000215,0.29,5.68,-4.44,0.88,-10.42,-9.47,20230111
37550K,-0.22,3.39,-10.92,-2.56,-16.91,-67.36,20230111
068790,4.24,13.7,29.03,50.27,41.62,-1.99,20230111
007340,-0.63,-2.33,-8.71,4.83,25.55,-13.36,20230111
004840,0.0,3.72,-9.2,-4.53,-13.33,-25.29,20230111
241520,1.22,12.8,-9.87,0.13,-7.87,-33.36,20230111
155660,0.17,7.83,-2.79,25.96,14.73,6.67,20230111
069730,1.56,9.24,-2.44,24.85,12.68,9.82,20230111
017940,0.22,1.69,-4.64,5.72,2.96,-5.04,20230111
278990,8.04,7.89,-14.58,-8.89,-26.79,-54.39,20230111
365550,-0.12,1.89,5.77,-10.33,-23.43,-35.13,20230111
050120,0.23,5.58,-1.47,10.13,14.02,-8.23,20230111
007700,-0.32,-8.01,28.9,120.64,71.27,-1.9,20230111
130500,3.49,5.92,-3.37,30.15,-17.24,-30.61,20230111
114090,1.58,3.49,6.04,28.67,47.33,47.89,20230111
900290,1.44,1.44,-2.19,-12.14,96.8,100.0,20230111
078930,-0.23,3.48,-6.2,-2.04,11.07,8.69,20230111
083450,1.64,5.07,3.82,9.3,6.36,-35.65,20230111
006360,-1.9,9.69,2.43,1.09,-18.74,-47.09,20230111
001250,4.03,10.36,-1.01,-9.26,-28.05,5.15,20230111
007070,0.72,0.72,-5.22,14.43,16.56,-3.43,20230111
078935,0.0,1.04,-5.66,-1.59,0.59,-0.15,20230111
078150,1.3,1.57,-2.51,6.58,-3.71,-21.41,20230111
012630,1.23,6.67,-1.54,0.52,-10.7,-45.4,20230111
039570,-0.51,9.65,-0.88,-1.63,-5.2,-31.83,20230111
089470,0.5,2.69,-0.37,4.7,7.08,-29.9,20230111
294870,0.0,3.96,-0.47,0.0,-4.11,-59.22,20230111
267250,0.0,3.48,-12.94,-2.59,9.92,5.21,20230111
097230,2.16,4.29,-2.67,-0.5,-40.43,-49.43,20230111
195940,2.4,3.36,-2.04,15.49,-7.13,-23.66,20230111
014790,0.71,8.46,-5.84,-6.16,-25.98,-51.46,20230111
204320,-0.11,4.32,-3.87,3.33,-12.58,-28.77,20230111
060980,0.0,1.0,-8.46,0.0,-16.3,-33.48,20230111
011200,1.5,5.71,-6.22,14.33,-13.59,-20.97,20230111
036640,2.6,7.39,3.37,4.55,-9.06,-25.3,20230111
351340,0.0,0.25,0.5,9.56,-3.84,-6.31,20230111
388790,0.87,-1.07,-2.73,4.27,4.27,6.18,20230111
175330,0.0,8.72,7.67,25.07,27.56,3.1,20230111
234080,0.42,0.42,-2.87,3.04,-10.9,-14.13,20230111
035900,2.51,0.46,0.46,15.75,24.81,43.11,20230111
024840,1.49,10.08,-5.54,1.49,-17.77,-30.89,20230111
024120,1.1,10.46,1.98,14.76,-24.82,-36.32,20230111
002380,0.91,9.65,-3.28,-9.59,-20.89,-40.14,20230111
021320,1.01,4.79,-2.64,26.13,6.87,-19.45,20230111
344820,-0.79,7.41,-5.63,-6.68,-13.13,-40.63,20230111
036670,0.23,1.63,-5.02,2.23,10.96,-4.07,20230111
009070,-0.64,6.16,-0.53,18.75,7.63,-22.03,20230111
009440,3.9,6.93,1.74,-0.51,-39.77,-33.71,20230111
112190,-1.9,-10.68,-12.33,-19.86,-12.46,-32.34,20230111
044180,1.32,4.37,-9.14,-4.49,-23.88,-36.78,20230111
151860,0.0,19.49,15.92,34.99,-23.61,-17.38,20230111
046440,1.6,4.38,-4.98,7.72,-15.01,-43.92,20230111
016380,0.64,7.11,-5.43,-3.33,-36.6,-31.91,20230111
035600,2.87,8.66,-1.57,8.19,-4.92,-29.69,20230111
001390,0.45,9.31,-2.83,3.72,-9.16,-26.4,20230111
060720,2.08,6.5,-1.67,19.43,-17.6,-39.8,20230111
058400,0.89,1.45,0.33,3.17,-8.26,-30.19,20230111
114450,1.72,4.24,34.24,49.56,1.72,-40.82,20230111
025000,0.1,-1.72,-3.58,0.21,1.78,-9.01,20230111
092230,0.0,3.61,-0.73,3.61,-8.24,-13.88,20230111
030200,0.15,1.63,-9.62,-0.15,-7.92,11.91,20230111
033780,-0.76,2.71,-8.27,4.6,10.98,14.9,20230111
058850,0.0,2.58,-6.01,2.1,8.68,-12.22,20230111
058860,0.41,2.09,-3.56,-1.01,-3.56,-1.81,20230111
122450,-0.97,7.56,8.13,4.08,-20.52,-22.73,20230111
093050,0.58,3.6,5.18,16.55,13.49,3.29,20230111
003550,1.02,4.33,-1.12,1.4,3.51,0.13,20230111
034220,-2.97,0.38,-6.79,-4.4,-10.92,-46.41,20230111
051900,3.36,9.25,9.4,32.19,8.47,-18.99,20230111
051905,2.31,3.68,0.81,1.47,-2.97,-43.43,20230111
003555,-0.33,2.04,-3.53,-0.17,-0.66,-3.69,20230111
032640,-0.92,-1.38,-10.04,2.87,-13.31,-20.66,20230111
011070,0.91,4.71,-1.42,-2.11,-15.37,-14.85,20230111
066570,-0.32,5.69,5.57,18.8,4.87,-27.36,20230111
066575,-0.23,2.92,1.97,14.84,1.38,-30.88,20230111
037560,0.22,3.68,-10.92,10.58,-13.08,-8.82,20230111
051910,0.79,5.49,0.96,7.28,23.35,-13.62,20230111
051915,3.14,7.64,0.34,9.02,24.11,-8.22,20230111
079550,2.52,4.23,-5.79,-13.79,21.16,22.26,20230111
006260,0.0,3.78,-1.58,15.27,31.36,27.22,20230111
010120,0.19,-0.19,-8.85,6.3,1.78,-4.81,20230111
000680,0.42,2.55,-4.37,-8.71,-10.74,-18.31,20230111
229640,0.42,1.12,-8.14,0.42,7.76,-6.84,20230111
108320,-0.51,3.43,-4.04,-4.62,-10.71,-46.45,20230111
001120,1.05,3.87,-13.75,-22.34,16.29,29.04,20230111
108670,0.3,6.77,-2.5,4.58,-16.94,-49.16,20230111
108675,1.17,7.12,-0.29,9.15,-8.47,-42.04,20230111
383800,0.58,3.74,-6.01,4.12,0.0,-16.5,20230111
38380K,0.88,1.33,-2.55,10.63,-3.38,-26.37,20230111
023150,0.52,3.35,-3.38,1.45,-8.87,-19.01,20230111
035420,1.04,6.85,1.04,20.37,-16.49,-41.79,20230111
160550,0.37,-3.93,2.41,47.89,12.41,-46.8,20230111
053290,8.12,41.45,31.25,41.45,0.0,-64.31,20230111
104200,2.92,13.01,-1.71,13.21,-26.71,-59.87,20230111
400760,1.12,6.95,11.23,-2.17,-19.31,-30.21,20230111
005945,-0.22,4.33,-4.91,-0.67,-1.66,-21.5,20230111
338100,1.86,8.55,8.01,2.94,-4.68,-6.51,20230111
034310,0.78,2.37,-4.07,5.28,-9.12,-23.15,20230111
030190,0.41,1.24,-7.58,-2.79,-12.86,-31.46,20230111
008260,0.32,5.86,7.55,26.17,-2.08,27.03,20230111
004250,1.33,4.45,-8.96,-13.11,-31.46,-33.77,20230111
004255,0.3,9.63,-7.43,-4.9,-30.01,-35.29,20230111
010060,0.84,3.33,-10.55,-9.69,-30.95,-18.54,20230111
178920,-0.63,9.0,5.0,-5.26,-2.48,-37.99,20230111
024940,0.0,2.9,-9.93,52.34,67.38,58.7,20230111
091340,4.72,8.79,-0.4,15.98,-7.59,-32.1,20230111
010950,0.61,4.19,-4.98,-3.3,-9.98,-13.12,20230111
010955,0.19,2.38,-12.37,-9.46,-10.09,-6.68,20230111
019550,2.21,9.48,1.32,13.24,-19.51,-28.04,20230111
950110,-2.4,-0.39,0.0,-7.77,-11.16,-44.78,20230111
034120,-1.24,-3.62,-11.0,1.27,-24.91,-33.44,20230111
046140,2.35,6.64,-1.29,15.09,3.39,-19.84,20230111
036120,0.75,6.8,8.24,-3.61,12.98,25.16,20230111
036540,1.19,5.2,-2.07,-2.86,-15.0,-40.39,20230111
040610,0.29,8.15,-1.15,10.58,-10.85,-31.0,20230111
005090,0.32,3.17,-5.64,-2.98,-5.78,-32.5,20230111
001380,1.75,8.41,3.57,68.12,26.55,-14.29,20230111
004060,-1.36,-1.19,7.79,2.29,7.79,-29.06,20230111
001770,3.69,14.42,-1.75,-10.98,27.62,28.3,20230111
002360,2.16,4.92,-6.98,-7.38,-15.96,-12.33,20230111
009160,10.13,11.62,-1.28,17.21,-11.07,-10.78,20230111
123700,3.39,13.79,-1.82,35.5,31.23,0.66,20230111
025530,2.55,6.94,-10.17,-6.82,23.55,-0.14,20230111
034730,0.0,0.53,-5.96,-6.19,-8.23,-20.88,20230111
011790,0.86,6.13,-6.97,0.97,-25.2,-39.87,20230111
018670,-0.87,-1.72,-4.58,1.78,6.02,-9.13,20230111
001740,0.13,3.46,-4.89,0.26,-6.15,-18.87,20230111
001745,29.94,15.91,10.99,-18.79,-8.27,-25.98,20230111
006120,0.67,2.9,-6.21,1.0,-12.84,-34.35,20230111
006125,-0.35,2.55,-4.26,1.63,-5.07,-18.43,20230111
210980,1.72,4.8,-3.71,-6.53,-13.18,-29.42,20230111
068400,1.18,5.04,-1.85,1.33,-14.11,-30.99,20230111
326030,0.81,6.29,1.92,39.85,-4.98,-19.22,20230111
402340,1.28,6.43,-1.39,-6.68,-9.87,-37.76,20230111
361610,5.47,14.05,-2.68,20.74,-22.68,-58.03,20230111
03473K,-1.18,-1.47,-5.38,-2.91,-6.96,-22.51,20230111
096770,3.37,2.68,-8.63,-2.54,-6.97,-36.44,20230111
096775,1.7,3.34,-5.05,2.13,-10.79,-32.94,20230111
001510,0.63,4.23,-5.6,-1.84,-9.46,-32.74,20230111
001515,0.19,2.97,-5.11,-9.09,-12.46,-31.85,20230111
28513K,0.0,5.11,-4.64,0.39,-27.42,-53.12,20230111
017670,-0.85,-1.8,-6.81,-4.62,-15.45,-17.26,20230111
000660,0.92,7.78,7.64,-7.13,-6.43,-31.8,20230111
064960,0.83,3.26,-6.15,4.02,5.3,-7.78,20230111
100840,0.78,5.75,-4.22,-0.26,20.63,-2.77,20230111
003570,2.72,6.78,3.05,1.94,41.68,6.66,20230111
036530,1.26,3.21,-1.23,15.41,5.23,-5.57,20230111
005610,-0.28,2.46,-1.26,-8.76,-11.39,2.76,20230111
011810,-0.52,-1.55,-4.2,31.34,81.82,32.1,20230111
077970,-1.08,3.0,7.42,7.0,8.7,25.57,20230111
002820,2.26,10.75,-0.44,-3.27,-19.43,-32.94,20230111
289080,1.99,6.49,-12.21,-0.49,-27.3,-35.53,20230111
084870,1.75,9.06,-7.67,6.4,-8.88,-20.68,20230111
161570,1.46,4.94,-3.26,11.23,-16.13,-32.9,20230111
032540,0.15,8.69,2.63,21.88,13.72,33.4,20230111
022220,0.68,5.38,0.0,8.09,-19.89,-27.05,20230111
069260,0.25,3.9,-5.66,-1.23,8.4,-12.85,20230111
024070,3.85,7.37,-2.18,-1.82,-16.17,-21.43,20230111
057030,0.94,7.1,-0.4,12.54,-12.22,-42.35,20230111
037270,3.24,2.07,8.21,20.34,-11.94,-27.46,20230111
040300,-0.17,4.1,0.34,4.85,62.22,77.24,20230111
051390,-0.14,3.44,-0.14,6.97,-4.69,-19.46,20230111
052220,1.36,3.24,-8.61,-19.4,11.31,-29.5,20230111
079940,0.93,5.34,-0.91,13.14,-2.25,-15.56,20230111
000860,-0.96,0.74,-2.38,-1.67,-2.14,-19.73,20230111
217730,0.68,-2.15,1.55,13.65,0.17,-9.91,20230111
035250,-2.1,1.75,-4.31,-2.31,-1.89,-5.28,20230111
114190,2.03,1.9,-5.83,28.14,41.96,242.4,20230111
094480,1.01,4.65,-7.69,-4.05,-27.88,-58.9,20230111
011420,1.16,3.57,-8.18,-2.79,-2.52,-33.33,20230111
002100,0.0,4.0,-1.42,16.85,-1.42,-13.33,20230111
009450,0.0,0.45,-4.71,-1.33,-12.58,-38.47,20230111
267290,0.21,3.4,-11.48,17.96,15.71,10.45,20230111
012320,-2.24,-1.94,-22.27,227.09,177.46,181.11,20230111
011040,0.38,2.08,-2.37,11.68,-12.79,-26.38,20230111
000050,0.0,1.42,-0.92,-0.46,-12.24,-24.83,20230111
214390,-1.4,-10.76,37.79,68.86,17.17,-17.06,20230111
009140,1.24,2.95,-2.0,-4.12,-1.61,-28.09,20230111
024910,1.45,8.27,0.0,4.75,-14.49,-38.56,20230111
013580,-1.06,6.53,-3.35,8.38,-20.38,-49.05,20230111
012200,4.64,8.28,18.05,23.63,-8.79,-17.53,20230111
012205,2.58,7.34,10.32,9.66,-17.87,-17.01,20230111
002140,2.07,5.13,-9.23,-34.57,-43.84,26.59,20230111
198440,0.8,2.64,-8.18,-0.59,-22.31,-37.73,20230111
049720,0.0,3.32,0.0,-12.8,-16.15,31.8,20230111
002240,1.35,12.5,-2.17,26.4,14.21,6.13,20230111
014570,-0.24,-0.97,4.46,13.89,6.36,-3.87,20230111
098460,2.21,5.73,-1.07,-1.42,8.2,-32.77,20230111
215000,7.91,8.11,0.0,8.81,-14.07,-35.69,20230111
121440,3.16,5.82,-6.34,-11.59,-30.95,-44.48,20230111
183410,1.57,5.7,-2.81,-29.58,-47.04,1.96,20230111
076340,-0.17,0.52,-1.2,-21.77,-14.18,-29.53,20230111
009290,0.5,2.92,-4.16,5.46,-7.13,-17.27,20230111
017040,13.01,19.28,10.99,24.06,-17.77,-4.44,20230111
017900,0.68,2.31,-0.67,8.05,0.45,-34.18,20230111
026910,1.05,1.48,-5.4,-1.13,-6.69,-23.93,20230111
355150,-0.64,4.95,-2.92,-2.92,5.43,9.13,20230111
397880,0.49,1.73,1.23,-2.61,-4.2,-12.74,20230111
030610,0.0,4.56,-5.34,-1.79,-10.71,-32.76,20230111
339770,1.3,3.2,-7.43,-3.51,-17.62,-40.45,20230111
053270,1.0,6.57,0.0,5.45,-20.79,-21.65,20230111
007690,0.69,4.8,-6.82,-2.13,-7.81,-30.08,20230111
066620,1.86,1.55,-8.89,4.79,1.86,-21.9,20230111
043650,-0.43,3.15,0.58,0.15,-19.25,-30.08,20230111
006050,0.0,2.95,-6.55,30.83,6.08,-13.02,20230111
060480,2.06,9.22,-2.5,0.0,-6.36,-28.48,20230111
078130,2.93,2.7,-6.17,13.15,-7.51,-43.84,20230111
307750,0.3,2.15,-5.8,-7.88,-24.75,-30.84,20230111
243870,-0.35,0.7,2.5,-7.42,-4.33,-15.59,20230111
204020,1.36,0.67,-1.32,4.01,-2.77,18.22,20230111
083420,-0.97,5.67,-9.29,-10.48,49.85,17.55,20230111
186230,0.47,3.37,-4.87,-7.33,-4.44,-28.33,20230111
014530,0.69,2.52,-7.22,3.68,5.63,-2.79,20230111
900070,0.14,2.38,-9.88,-21.84,-4.45,-30.48,20230111
014280,0.48,5.4,-3.25,23.27,-7.82,-23.03,20230111
014285,-0.42,0.84,-1.24,0.42,-3.63,-7.72,20230111
053260,1.54,7.87,-8.23,-9.86,-3.66,29.02,20230111
008870,0.0,13.84,46.72,131.4,80.08,103.67,20230111
002995,-1.54,10.85,9.19,27.43,1.59,-15.4,20230111
011785,0.0,5.5,-12.23,-5.17,1.6,-17.42,20230111
073240,-0.33,9.09,0.67,-4.46,-12.02,-33.55,20230111
036190,0.0,-0.18,-2.26,1.62,-4.25,-9.63,20230111
035460,2.77,4.83,-5.97,28.05,-1.56,22.33,20230111
092440,0.43,4.12,1.43,5.84,2.76,-17.12,20230111
000270,0.47,3.55,-1.38,-5.87,-18.42,-23.66,20230111
013700,0.0,-5.15,-8.46,6.98,-18.58,-53.65,20230111
004540,0.87,4.68,-4.9,0.17,-13.13,-34.09,20230111
004545,0.55,-0.81,-0.54,3.39,-3.43,-16.82,20230111
121600,1.7,5.95,3.59,-1.18,21.13,46.58,20230111
091970,0.0,0.0,0.0,0.0,0.0,0.0,20230111
244880,-0.5,3.12,2.59,6.44,-0.67,-0.83,20230111
051490,2.2,8.86,-1.36,1.72,-0.46,-44.6,20230111
242040,-1.12,18.57,28.02,61.59,52.3,-3.64,20230111
293580,-0.73,-1.09,46.46,95.56,59.46,42.19,20230111
130580,1.28,3.0,4.36,6.33,8.37,-16.75,20230111
036800,0.95,2.31,-2.03,1.14,6.61,-5.34,20230111
267320,0.16,9.42,0.95,3.06,-7.66,-25.52,20230111
001260,0.94,9.06,1.9,13.83,-11.24,-25.35,20230111
008355,2.48,4.27,-3.94,30.02,23.17,18.81,20230111
004270,4.61,8.84,0.0,18.41,-4.65,-31.26,20230111
003920,1.13,3.0,1.59,21.03,21.03,10.95,20230111
003925,0.66,2.0,2.22,11.65,14.71,16.75,20230111
025860,0.46,3.92,-2.56,-3.85,-6.72,-9.62,20230111
111710,0.49,2.49,-0.12,20.85,11.97,-4.3,20230111
091590,-0.52,0.42,6.87,63.01,34.78,8.79,20230111
212560,2.33,2.01,-5.18,-1.35,10.2,-0.6,20230111
095660,0.28,-3.42,1.29,-1.4,42.91,20.48,20230111
042420,1.88,7.13,-3.74,16.85,-4.59,-59.81,20230111
092730,-1.23,4.97,3.89,21.52,2.56,-15.76,20230111
153460,0.13,0.53,-0.26,-2.44,6.01,-1.56,20230111
033640,3.7,5.0,-10.16,-7.95,-6.41,-51.59,20230111
330860,4.18,9.02,-2.21,-6.99,-23.85,-59.78,20230111
005720,1.52,0.38,-4.43,3.77,18.02,-12.29,20230111
005725,-0.32,-1.41,-16.45,9.76,6.06,-25.09,20230111
002350,-0.95,-0.16,-11.11,-14.87,15.99,-12.24,20230111
002355,0.18,1.68,-6.35,-3.36,1.11,-21.33,20230111
137940,2.57,7.93,-7.13,25.05,-14.06,-56.44,20230111
251270,1.11,2.63,7.06,23.11,-18.75,-50.36,20230111
090350,0.51,2.32,-2.93,2.19,-3.64,-37.15,20230111
090355,0.33,0.33,-0.33,-6.23,3.44,-23.02,20230111
000320,1.49,3.02,-3.3,-7.24,-5.09,-20.85,20230111
006280,2.75,3.97,-2.24,10.55,-28.42,-36.71,20230111
142280,0.72,1.62,-0.88,7.24,-30.49,-18.88,20230111
234690,0.12,3.01,-5.85,32.85,1.99,-15.1,20230111
005250,1.49,3.33,-3.4,10.0,-17.63,-33.01,20230111
005257,0.0,-0.75,-16.12,-14.94,-39.01,-29.52,20230111
004370,2.07,2.07,1.32,20.21,22.56,9.0,20230111
072710,0.3,2.44,-0.59,11.61,-0.74,-11.1,20230111
054050,0.45,1.37,0.56,8.66,-6.99,-18.26,20230111
069140,7.12,17.87,17.64,29.44,8.1,-17.44,20230111
040160,17.03,24.42,10.47,20.61,-5.29,-33.45,20230111
144960,1.47,6.3,5.12,10.0,-4.77,-37.68,20230111
085670,1.97,-9.88,-13.77,3.51,52.33,-1.74,20230111
064260,2.12,3.71,-6.84,-7.97,-24.14,-55.75,20230111
039560,2.06,6.57,-8.86,12.23,-24.91,-38.84,20230111
298870,-2.23,8.51,12.7,60.41,12.16,-22.11,20230111
030210,-0.17,15.24,-1.63,-14.79,-26.22,-41.71,20230111
023590,0.23,16.27,16.27,27.3,28.41,-0.45,20230111
032190,-3.02,6.21,41.03,181.02,291.26,170.18,20230111
323350,4.26,-3.92,-7.37,-1.21,-5.77,-35.53,20230111
019680,2.11,2.7,-2.91,17.92,-8.26,-29.78,20230111
019685,0.29,5.14,-10.54,3.88,-21.09,-34.22,20230111
006370,0.95,-1.64,-3.03,-4.58,-13.21,-15.51,20230111
008060,0.48,2.44,-5.54,4.47,2.6,-18.16,20230111
00806K,0.31,1.8,3.34,30.61,3.34,-4.0,20230111
353200,-0.46,8.52,-1.37,-12.35,-20.99,-3.35,20230111
35320K,0.48,5.03,0.97,4.5,-11.44,-25.62,20230111
178600,6.62,7.32,-14.4,-15.17,-12.7,-26.59,20230111
020400,1.62,4.79,-0.42,12.56,6.57,-3.19,20230111
008830,2.14,4.53,-3.5,4.37,2.73,18.54,20230111
048470,5.02,6.32,-7.34,-4.67,-11.0,-29.67,20230111
008110,0.42,2.89,-7.6,-13.42,55.25,23.21,20230111
004780,0.56,3.36,-2.09,7.74,-0.56,-14.0,20230111
005750,0.38,4.38,-5.75,3.83,-16.1,-51.78,20230111
017650,0.67,-0.11,0.56,14.63,7.78,-24.6,20230111
006570,1.34,2.16,-1.56,19.56,11.47,1.88,20230111
007720,0.39,4.03,-7.53,10.26,-4.91,-35.77,20230111
317850,0.4,3.32,-12.63,27.56,52.95,141.75,20230111
