종목코드,종목명,산업,섹터,DT
096770,SK이노베이션,에너지,에너지,20240822
267250,HD현대,에너지,에너지,20240822
009830,한화솔루션,에너지,에너지,20240822
010950,S-Oil,에너지,에너지,20240822
078930,GS,에너지,에너지,20240822
112610,씨에스윈드,에너지,에너지,20240822
006120,SK디스커버리,에너지,에너지,20240822
005090,SGC에너지,에너지,에너지,20240822
322000,HD현대에너지솔루션,에너지,에너지,20240822
024060,흥구석유,에너지,에너지,20240822
044490,태웅,에너지,에너지,20240822
270520,지오릿에너지,에너지,에너지,20240822
126720,수산인더스트리,에너지,에너지,20240822
083650,비에이치아이,에너지,에너지,20240822
018000,유니슨,에너지,에너지,20240822
099220,SDN,에너지,에너지,20240822
012700,리드코프,에너지,에너지,20240822
126880,제이엔케이글로벌,에너지,에너지,20240822
014530,극동유화,에너지,에너지,20240822
137950,제이씨케미칼,에너지,에너지,20240822
128820,대성산업,에너지,에너지,20240822
294630,서남,에너지,에너지,20240822
282720,금양그린파워,에너지,에너지,20240822
046120,오르비텍,에너지,에너지,20240822
457550,우진엔텍,에너지,에너지,20240822
032980,바이온,에너지,에너지,20240822
038870,에코바이오,에너지,에너지,20240822
389260,대명에너지,에너지,에너지,20240822
000440,중앙에너비스,에너지,에너지,20240822
095910,에스에너지,에너지,에너지,20240822
060900,DGP,에너지,에너지,20240822
043200,파루,에너지,에너지,20240822
065420,에스아이리소스,에너지,에너지,20240822
313760,캐리,에너지,에너지,20240822
005490,POSCO홀딩스,소재,소재,20240822
051910,LG화학,소재,소재,20240822
086520,에코프로,소재,소재,20240822
003670,포스코퓨처엠,소재,소재,20240822
010130,고려아연,소재,소재,20240822
005070,코스모신소재,소재,소재,20240822
011790,SKC,소재,소재,20240822
004020,현대제철,소재,소재,20240822
011780,금호석유,소재,소재,20240822
011170,롯데케미칼,소재,소재,20240822
001570,금양,소재,소재,20240822
014680,한솔케미칼,소재,소재,20240822
010060,OCI홀딩스,소재,소재,20240822
103140,풍산,소재,소재,20240822
457190,이수스페셜티케미컬,소재,소재,20240822
004000,롯데정밀화학,소재,소재,20240822
000210,DL,소재,소재,20240822
298050,효성첨단소재,소재,소재,20240822
121600,나노신소재,소재,소재,20240822
281740,레이크머티리얼즈,소재,소재,20240822
120110,코오롱인더,소재,소재,20240822
285130,SK케미칼,소재,소재,20240822
456040,OCI,소재,소재,20240822
005420,코스모화학,소재,소재,20240822
002710,TCC스틸,소재,소재,20240822
069260,TKG휴켐스,소재,소재,20240822
101360,에코앤드림,소재,소재,20240822
005690,파미셀,소재,소재,20240822
178920,PI첨단소재,소재,소재,20240822
093370,후성,소재,소재,20240822
009520,포스코엠텍,소재,소재,20240822
161000,애경케미칼,소재,소재,20240822
006650,대한유화,소재,소재,20240822
006110,삼아알미늄,소재,소재,20240822
460860,동국제강,소재,소재,20240822
014830,유니드,소재,소재,20240822
000070,삼양홀딩스,소재,소재,20240822
