종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
095570,AJ네트웍스,2015-08-21,4025,182142354975,28309,113485350,45252759,8076.0,20.02,0.5,201.0,6.71,270.0,20231110
282330,BGF리테일,2017-12-08,145300,2533820619600,36423,5271527100,17283906,55724.0,12.97,2.61,11203.0,2.82,4100.0,20231110
138930,BNK금융지주,2011-03-30,7000,2264281719140,444567,3109191860,322088438,30468.0,2.91,0.23,2404.0,8.93,625.0,20231110
155660,DSR,2013-05-15,4210,67680000000,9695,40994750,16000000,12480.0,2.8,0.34,1502.0,1.43,60.0,20231110
294870,HDC현대산업개발,2018-06-12,13110,870635829300,404696,5316267520,65907330,43919.0,17.16,0.3,764.0,4.58,600.0,20231110
009540,HD한국조선해양,1999-08-24,97100,6864992252000,134581,13003499300,70773116,137382.0,0.0,0.71,0.0,0.0,0.0,20231110
322000,HD현대에너지솔루션,2019-11-19,23000,257040000000,25355,578340550,11200000,34065.0,4.25,0.68,5412.0,2.61,600.0,20231110
001390,KG케미칼,1989-08-25,6250,426562119200,279536,1741347370,68469040,11474.0,1.34,0.54,4677.0,1.6,100.0,20231110
033180,KH 필룩스,2001-12-26,1326,84294994836,0,0,63570886,8313.0,0.0,0.16,0.0,0.0,0.0,20231110
025000,KPX케미칼,1994-12-27,42750,206426000000,2603,110984100,4840000,122776.0,7.11,0.35,6015.0,6.43,2750.0,20231110
058860,KTis,2010-12-17,2885,100403770000,220160,633935830,34802000,6434.0,5.76,0.45,501.0,4.16,120.0,20231110
011070,LG이노텍,2008-07-24,241500,5751107001000,89388,21294161250,23667107,180261.0,5.83,1.34,41406.0,1.72,4150.0,20231110
037560,LG헬로비전,2012-11-09,3320,256349123150,197082,654599515,77446865,8077.0,0.0,0.41,0.0,3.61,120.0,20231110
383800,LX홀딩스,2021-05-27,7070,541592899000,29953,213159320,76280690,21133.0,3.23,0.33,2190.0,4.38,310.0,20231110
023150,MH에탄올,1996-12-24,6570,48476915820,13533,89763720,7378526,10227.0,8.58,0.64,766.0,3.81,250.0,20231110
400760,NH올원리츠,2021-11-18,3395,143058000000,31254,105218995,42200000,,,,,,,20231110
