종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
006840,-0.37,-1.17,-5.25,-12.09,-15.81,-30.97,-16.22,20240801
265520,0.48,-1.18,-17.59,-40.85,-2.34,6.0,19.14,20240801
211270,2.07,-3.48,-5.94,-27.68,-7.64,10.56,7.26,20240801
027410,1.24,5.29,3.95,-1.6,-2.39,1.38,-12.07,20240801
282330,4.74,5.76,1.79,-18.63,-23.25,-36.37,-40.98,20240801
083790,-0.4,-0.6,-13.18,-18.21,-9.52,-33.33,-38.17,20240801
001040,1.97,9.59,13.65,4.17,43.66,104.7,71.63,20240801
035760,0.13,-0.91,-7.94,0.26,6.99,16.97,-23.58,20240801
00104K,1.03,5.05,16.15,9.15,33.42,72.18,37.75,20240801
000120,0.3,4.55,6.58,-18.08,-27.25,34.79,-12.95,20240801
011150,-0.85,-0.25,-15.33,45.26,40.73,33.11,21.38,20240801
011155,0.97,0.48,-5.88,-0.95,1.71,-0.48,-24.64,20240801
001045,0.5,2.2,1.34,0.33,21.24,38.13,25.52,20240801
097950,-3.36,-1.32,0.95,9.05,27.91,26.61,-3.11,20240801
097955,-1.48,1.66,2.07,4.02,17.92,14.3,-8.56,20240801
051500,1.4,2.04,-2.79,-14.7,-20.45,-23.42,-50.66,20240801
058820,0.43,-3.11,9.62,9.88,5.42,-2.3,-12.05,20240801
023460,-0.8,6.93,16.78,37.6,37.91,19.9,30.0,20240801
065770,1.36,4.38,-3.87,-1.24,-1.98,-20.86,-46.23,20240801
083660,-1.78,-4.39,-22.88,-27.64,-21.59,-23.39,-36.04,20240801
000590,0.44,-0.15,0.15,4.58,2.09,18.31,5.71,20240801
012030,2.9,5.33,-9.73,-16.83,-24.58,-39.7,46.18,20240801
456440,2.84,0.86,5.37,5.84,2.61,13.49,,20240801
016610,0.45,3.12,2.89,4.95,13.21,10.14,-13.33,20240801
005830,-1.27,4.0,-4.63,16.93,24.12,43.18,79.15,20240801
000990,0.37,7.28,15.1,27.78,9.33,-7.78,24.29,20240801
139130,1.6,4.15,3.11,-0.96,-8.1,10.99,9.52,20240801
000210,6.23,10.76,4.01,3.83,6.42,44.55,-13.6,20240801
000215,1.47,3.56,0.91,0.36,3.95,22.94,-30.91,20240801
