종목코드,종목명,산업,섹터
069500,KODEX 200,국내 시장지수,대형
278540,KODEX MSCI Korea TR,국내 시장지수,대형
278530,KODEX 200TR,국내 시장지수,대형
277630,TIGER 코스피,국내 시장지수,대표지수
252650,KODEX 200동일가중,국내 시장지수,대형
252000,TIGER 200동일가중,국내 시장지수,대형
251890,KINDEX 코스닥(합성),국내 시장지수,대표지수
237350,KODEX 코스피100,국내 시장지수,대형
292050,KBSTAR KRX300,국내 시장지수,대형
232080,TIGER 코스닥150,국내 시장지수,대형
229200,KODEX 코스닥 150,국내 시장지수,대형
228820,TIGER KTOP30,국내 시장지수,대형
227830,ARIRANG 코스피,국내 시장지수,대표지수
226980,KODEX 200 중소형,국내 시장지수,중소형
226490,KODEX 코스피,국내 시장지수,대표지수
168300,KTOP 코스피50,국내 시장지수,대형
159800,마이티 코스피100,국내 시장지수,대형
156080,KODEX MSCI Korea,국내 시장지수,대형
153270,KOSEF 코스피100,국내 시장지수,대형
152870,파워 200,국내 시장지수,대형
152100,ARIRANG 200,국내 시장지수,대형
229720,KODEX KTOP30,국내 시장지수,대형
292160,TIGER KRX300,국내 시장지수,대형
292190,KODEX KRX300,국내 시장지수,대형
292500,SMART KRX300,국내 시장지수,대형
385720,TIMEFOLIO Kstock액티브,국내 시장지수,액티브
365040,TIGER AI코리아그로스액티브,국내 시장지수,액티브
361580,KBSTAR 200TR,국내 시장지수,대형
359210,KODEX 코스피TR,국내 시장지수,대표지수
354500,KINDEX 코스닥150,국내 시장지수,대형
332940,HANARO MSCI Korea TR,국내 시장지수,대형
332930,HANARO 200TR,국내 시장지수,대형
332500,KINDEX 200TR,국내 시장지수,대형
328370,ARIRANG 코스피TR,국내 시장지수,대표지수
316670,KOSEF 코스닥150,국내 시장지수,대형
310970,TIGER MSCI Korea TR,국내 시장지수,대형
310960,TIGER 200TR,국내 시장지수,대형
305050,KINDEX 코스피,국내 시장지수,대표지수
304770,HANARO 코스닥150,국내 시장지수,대형
304760,HANARO KRX300,국내 시장지수,대형
302450,KBSTAR 코스피,국내 시장지수,대표지수
301400,ARIRANG 코스닥150,국내 시장지수,대형
295820,ARIRANG 200동일가중,국내 시장지수,대형
295040,SMART 200TR,국내 시장지수,대형
294400,KOSEF 200TR,국내 시장지수,대형
293180,HANARO 200,국내 시장지수,대형
292750,ARIRANG KRX300,국내 시장지수,대형
292730,FOCUS KRX300,국내 시장지수,대형
148020,KBSTAR 200,국내 시장지수,대형
140950,파워 코스피100,국내 시장지수,대형
270810,KBSTAR 코스닥150,국내 시장지수,대형
108590,TREX 200,국내 시장지수,대형
100910,KOSEF KRX100,국내 시장지수,대형
069660,KOSEF 200,국내 시장지수,대형
122090,ARIRANG 코스피50,국내 시장지수,대형
102110,TIGER 200,국내 시장지수,대형
105190,KINDEX 200,국내 시장지수,대형
292150,TIGER TOP10,국내 시장지수,대형
301440,ARIRANG 코스피중형주,국내 시장지수,중소형
277640,TIGER 코스피대형주,국내 시장지수,대형
277650,TIGER 코스피중형주,국내 시장지수,중소형
337140,KODEX 코스피대형주,국내 시장지수,대형
361590,KBSTAR 코스피ex200,국내 시장지수,중소형
331910,KOSEF Fn중소형,국내 시장지수,중소형
337150,KODEX 200exTOP,국내 시장지수,대형
395170,KODEX Fn Top10동일가중,국내 시장지수,대형
104530,KOSEF 고배당,국내 시장지수,배당
391670,HK 베스트일레븐액티브,국내 시장지수,액티브
391680,HK 하이볼액티브,국내 시장지수,액티브
407310,HANARO 200 TOP10,국내 시장지수,대형
290080,KBSTAR 200고배당커버드콜ATM,국내 시장지수,배당
270800,KBSTAR KQ고배당,국내 시장지수,배당
266160,KBSTAR 고배당,국내 시장지수,배당
281990,KBSTAR 중소형고배당,국내 시장지수,배당
315960,KBSTAR 대형고배당10TR,국내 시장지수,배당
322410,HANARO 고배당,국내 시장지수,배당
325020,KODEX 배당가치,국내 시장지수,배당
329200,TIGER 부동산인프라고배당,국내 시장지수,배당
279530,KODEX 고배당,국내 시장지수,배당
211560,TIGER 배당성장,국내 시장지수,배당
211900,KODEX 배당성장,국내 시장지수,배당
210780,TIGER 코스피고배당,국내 시장지수,배당
161510,ARIRANG 고배당주,국내 시장지수,배당
192720,파워 고배당저변동성,국내 시장지수,배당
251590,ARIRANG 고배당저변동50,국내 시장지수,배당
261140,TIGER 우선주,국내 시장지수,배당
233740,KODEX 코스닥150 레버리지,국내 시장지수, 레버리지 
233160,TIGER 코스닥150 레버리지,국내 시장지수, 레버리지 
306950,KODEX KRX300레버리지,국내 시장지수, 레버리지 
152500,KINDEX 레버리지,국내 시장지수, 레버리지 
307010,KBSTAR KRX300레버리지,국내 시장지수, 레버리지 
123320,TIGER 레버리지,국내 시장지수, 레버리지 
122630,KODEX 레버리지,국내 시장지수, 레버리지 
123310,TIGER 인버스,국내 시장지수, 인버스 
145670,KINDEX 인버스,국내 시장지수, 인버스 
114800,KODEX 인버스,국내 시장지수, 인버스 
364690,KODEX 혁신기술테마액티브,국내 업종/테마,기술
117460,KODEX 에너지화학,국내 업종/테마,경기소비재
117680,KODEX 철강,국내 업종/테마,경기소비재
290130,KBSTAR ESG사회책임투자,국내 업종/테마,ESG
139280,TIGER 경기방어,국내 업종/테마,테마
289480,TIGER 200커버드콜ATM,국내 업종/테마,테마
289260,TIGER MSCI KOREA ESG리더스,국내 업종/테마,ESG
289250,TIGER MSCI KOREA ESG유니버설,국내 업종/테마,ESG
289040,KODEX MSCI KOREA ESG유니버설,국내 업종/테마,ESG
287330,KBSTAR 200생활소비재,국내 업종/테마,필수소비재
287320,KBSTAR 200산업재,국내 업종/테마,경기소비재
292340,마이티 200커버드콜ATM레버리지,국내 업종/테마,테마
108450,KINDEX 삼성그룹섹터가중,국내 업종/테마,테마
300610,TIGER K게임,국내 업종/테마,미디어엔터/게임
300640,KBSTAR 게임테마,국내 업종/테마,미디어엔터/게임
300950,KODEX 게임산업,국내 업종/테마,미디어엔터/게임
105780,KBSTAR 5대그룹주,국내 업종/테마,테마
104520,KOSEF 블루칩,국내 업종/테마,테마
102970,KODEX 증권,국내 업종/테마,금융
305540,TIGER 2차전지테마,국내 업종/테마,기술
305720,KODEX 2차전지산업,국내 업종/테마,기술
307510,TIGER 의료기기,국내 업종/테마,바이오헬스케어
307520,TIGER 지주회사,국내 업종/테마,테마
287310,KBSTAR 200경기소비재,국내 업종/테마,경기소비재
287300,KBSTAR 200건설,국내 업종/테마,경기소비재
285690,FOCUS ESG리더스,국내 업종/테마,ESG
285020,KBSTAR 200철강소재,국내 업종/테마,경기소비재
253280,KBSTAR 헬스케어,국내 업종/테마,바이오헬스케어
261060,TIGER 코스닥150IT,국내 업종/테마,기술
261070,TIGER 코스닥150바이오테크,국내 업종/테마,바이오헬스케어
266360,KODEX 미디어&엔터테인먼트,국내 업종/테마,미디어엔터/게임
266370,KODEX IT,국내 업종/테마,기술
266390,KODEX 경기소비재,국내 업종/테마,경기소비재
266410,KODEX 필수소비재,국내 업종/테마,필수소비재
266420,KODEX 헬스케어,국내 업종/테마,바이오헬스케어
266550,ARIRANG 중형주저변동50,국내 업종/테마,테마
388280,KBSTAR Fn컨택트대표,국내 업종/테마,테마
272220,KINDEX 스마트모멘텀,국내 업종/테마,테마
272230,KINDEX 스마트밸류,국내 업종/테마,테마
275290,KODEX MSCI밸류,국내 업종/테마,테마
275300,KODEX MSCI퀄리티,국내 업종/테마,테마
278420,ARIRANG ESG우수기업,국내 업종/테마,ESG
117700,KODEX 건설,국내 업종/테마,경기소비재
139270,TIGER 200 금융,국내 업종/테마,금융
279540,KODEX 최소변동성,국내 업종/테마,테마
280920,ARIRANG 주도업종,국내 업종/테마,테마
284980,KBSTAR 200금융,국내 업종/테마,금융
284990,KBSTAR 200에너지화학,국내 업종/테마,경기소비재
285000,KBSTAR 200IT,국내 업종/테마,기술
285010,KBSTAR 200중공업,국내 업종/테마,경기소비재
275280,KODEX MSCI모멘텀,국내 업종/테마,테마
309210,ARIRANG KRX300헬스케어,국내 업종/테마,바이오헬스케어
102960,KODEX 기계장비,국내 업종/테마,경기소비재
