종목코드,종목명,산업,섹터,날짜
096770,SK이노베이션,에너지,에너지,20220408
010950,S-Oil,에너지,에너지,20220408
267250,HD현대,에너지,에너지,20220408
078930,GS,에너지,에너지,20220408
006120,SK디스커버리,에너지,에너지,20220408
005090,SGC에너지,에너지,에너지,20220408
001390,KG케미칼,에너지,에너지,20220408
041590,플래스크,에너지,에너지,20220408
060900,대한그린파워,에너지,에너지,20220408
002960,한국쉘석유,에너지,에너지,20220408
046120,오르비텍,에너지,에너지,20220408
093230,이아이디,에너지,에너지,20220408
322000,현대에너지솔루션,에너지,에너지,20220408
137950,제이씨케미칼,에너지,에너지,20220408
099220,SDN,에너지,에너지,20220408
091090,세원이앤씨,에너지,에너지,20220408
013810,스페코,에너지,에너지,20220408
128820,대성산업,에너지,에너지,20220408
003650,미창석유,에너지,에너지,20220408
024060,흥구석유,에너지,에너지,20220408
014530,극동유화,에너지,에너지,20220408
095910,에스에너지,에너지,에너지,20220408
270520,지엔원에너지,에너지,에너지,20220408
000440,중앙에너비스,에너지,에너지,20220408
043200,파루,에너지,에너지,20220408
078940,코드네이처,에너지,에너지,20220408
294630,서남,에너지,에너지,20220408
012320,경동인베스트,에너지,에너지,20220408
313760,윌링스,에너지,에너지,20220408
051910,LG화학,소재,소재,20220408
005490,POSCO홀딩스,소재,소재,20220408
010130,고려아연,소재,소재,20220408
009830,한화솔루션,소재,소재,20220408
003670,포스코케미칼,소재,소재,20220408
011790,SKC,소재,소재,20220408
004020,현대제철,소재,소재,20220408
011170,롯데케미칼,소재,소재,20220408
011780,금호석유,소재,소재,20220408
014680,한솔케미칼,소재,소재,20220408
086520,에코프로,소재,소재,20220408
010060,OCI,소재,소재,20220408
285130,SK케미칼,소재,소재,20220408
004000,롯데정밀화학,소재,소재,20220408
298050,효성첨단소재,소재,소재,20220408
001230,동국제강,소재,소재,20220408
120110,코오롱인더,소재,소재,20220408
000210,DL,소재,소재,20220408
005070,코스모신소재,소재,소재,20220408
093370,후성,소재,소재,20220408
383310,에코프로에이치엔,소재,소재,20220408
178920,PI첨단소재,소재,소재,20220408
005690,파미셀,소재,소재,20220408
103140,풍산,소재,소재,20220408
014830,유니드,소재,소재,20220408
006650,대한유화,소재,소재,20220408
069260,TKG휴켐스,소재,소재,20220408
298000,효성화학,소재,소재,20220408
121600,나노신소재,소재,소재,20220408
016380,KG스틸,소재,소재,20220408
004430,송원산업,소재,소재,20220408
007690,국도화학,소재,소재,20220408
014820,동원시스템즈,소재,소재,20220408
008350,남선알미늄,소재,소재,20220408
005420,코스모화학,소재,소재,20220408
078130,국일제지,소재,소재,20220408
151860,KG ETS,소재,소재,20220408
161000,애경케미칼,소재,소재,20220408
102710,이엔에프테크놀로지,소재,소재,20220408
005950,이수화학,소재,소재,20220408
089010,켐트로닉스,소재,소재,20220408
104830,원익머트리얼즈,소재,소재,20220408
002840,미원상사,소재,소재,20220408
025860,남해화학,소재,소재,20220408
003240,태광산업,소재,소재,20220408
084010,대한제강,소재,소재,20220408
213500,한솔제지,소재,소재,20220408
139990,아주스틸,소재,소재,20220408
104480,티케이케미칼,소재,소재,20220408
001430,세아베스틸,소재,소재,20220408
008730,율촌화학,소재,소재,20220408
268280,미원에스씨,소재,소재,20220408
002310,아세아제지,소재,소재,20220408
055490,테이팩스,소재,소재,20220408
004890,동일산업,소재,소재,20220408
104700,한국철강,소재,소재,20220408
115390,락앤락,소재,소재,20220408
003030,세아제강지주,소재,소재,20220408
239890,피엔에이치테크,소재,소재,20220408
220260,켐트로스,소재,소재,20220408
101360,이엔드디,소재,소재,20220408
016590,신대양제지,소재,소재,20220408
033500,동성화인텍,소재,소재,20220408
081000,일진다이아,소재,소재,20220408
034810,해성산업,소재,소재,20220408
012610,경인양행,소재,소재,20220408
281740,레이크머티리얼즈,소재,소재,20220408
251370,와이엠티,소재,소재,20220408
100130,동국S&C,소재,소재,20220408
001780,알루코,소재,소재,20220408
009520,포스코엠텍,소재,소재,20220408
002240,고려제강,소재,소재,20220408
002030,아세아,소재,소재,20220408
006380,카프로,소재,소재,20220408
002810,삼영무역,소재,소재,20220408
011500,한농화성,소재,소재,20220408
004560,현대비앤지스틸,소재,소재,20220408
069460,대호에이엘,소재,소재,20220408
017890,한국알콜,소재,소재,20220408
006110,삼아알미늄,소재,소재,20220408
138490,코오롱플라스틱,소재,소재,20220408
306200,세아제강,소재,소재,20220408
005810,풍산홀딩스,소재,소재,20220408
058430,포스코스틸리온,소재,소재,20220408
102260,동성케미컬,소재,소재,20220408
115960,연우,소재,소재,20220408
002710,TCC스틸,소재,소재,20220408
001340,백광산업,소재,소재,20220408
008970,동양철관,소재,소재,20220408
001940,KISCO홀딩스,소재,소재,20220408
014160,대영포장,소재,소재,20220408
009190,대양금속,소재,소재,20220408
042040,케이피엠테크,소재,소재,20220408
000180,성창기업지주,소재,소재,20220408
024090,디씨엠,소재,소재,20220408
000970,한국주철관,소재,소재,20220408
033310,엠투엔,소재,소재,20220408
004150,한솔홀딩스,소재,소재,20220408
006840,AK홀딩스,소재,소재,20220408
004540,깨끗한나라,소재,소재,20220408
107590,미원홀딩스,소재,소재,20220408
012800,대창,소재,소재,20220408
290380,대유,소재,소재,20220408
001570,금양,소재,소재,20220408
136410,아셈스,소재,소재,20220408
081150,티플랙스,소재,소재,20220408
272550,삼양패키징,소재,소재,20220408
009580,무림P&P,소재,소재,20220408
