종목코드,지수코드,지수명,날짜
005930,1028,코스피 200,20220317
000660,1028,코스피 200,20220317
373220,1028,코스피 200,20220317
035420,1028,코스피 200,20220317
207940,1028,코스피 200,20220317
035720,1028,코스피 200,20220317
005380,1028,코스피 200,20220317
006400,1028,코스피 200,20220317
051910,1028,코스피 200,20220317
000270,1028,코스피 200,20220317
068270,1028,코스피 200,20220317
005490,1028,코스피 200,20220317
323410,1028,코스피 200,20220317
105560,1028,코스피 200,20220317
028260,1028,코스피 200,20220317
066570,1028,코스피 200,20220317
012330,1028,코스피 200,20220317
055550,1028,코스피 200,20220317
377300,1028,코스피 200,20220317
096770,1028,코스피 200,20220317
034730,1028,코스피 200,20220317
011200,1028,코스피 200,20220317
015760,1028,코스피 200,20220317
086790,1028,코스피 200,20220317
259960,1028,코스피 200,20220317
034020,1028,코스피 200,20220317
051900,1028,코스피 200,20220317
032830,1028,코스피 200,20220317
017670,1028,코스피 200,20220317
009150,1028,코스피 200,20220317
003550,1028,코스피 200,20220317
352820,1028,코스피 200,20220317
033780,1028,코스피 200,20220317
010130,1028,코스피 200,20220317
018260,1028,코스피 200,20220317
003490,1028,코스피 200,20220317
316140,1028,코스피 200,20220317
302440,1028,코스피 200,20220317
036570,1028,코스피 200,20220317
329180,1028,코스피 200,20220317
010950,1028,코스피 200,20220317
251270,1028,코스피 200,20220317
090430,1028,코스피 200,20220317
000810,1028,코스피 200,20220317
011070,1028,코스피 200,20220317
030200,1028,코스피 200,20220317
003670,1028,코스피 200,20220317
361610,1028,코스피 200,20220317
024110,1028,코스피 200,20220317
402340,1028,코스피 200,20220317
326030,1028,코스피 200,20220317
034220,1028,코스피 200,20220317
011170,1028,코스피 200,20220317
009830,1028,코스피 200,20220317
009540,1028,코스피 200,20220317
086280,1028,코스피 200,20220317
018880,1028,코스피 200,20220317
035250,1028,코스피 200,20220317
032640,1028,코스피 200,20220317
097950,1028,코스피 200,20220317
000720,1028,코스피 200,20220317
028050,1028,코스피 200,20220317
004020,1028,코스피 200,20220317
011790,1028,코스피 200,20220317
006800,1028,코스피 200,20220317
021240,1028,코스피 200,20220317
010140,1028,코스피 200,20220317
011780,1028,코스피 200,20220317
138040,1028,코스피 200,20220317
000100,1028,코스피 200,20220317
161390,1028,코스피 200,20220317
071050,1028,코스피 200,20220317
005830,1028,코스피 200,20220317
008560,1028,코스피 200,20220317
020150,1028,코스피 200,20220317
003410,1028,코스피 200,20220317
006360,1028,코스피 200,20220317
267250,1028,코스피 200,20220317
241560,1028,코스피 200,20220317
139480,1028,코스피 200,20220317
047810,1028,코스피 200,20220317
016360,1028,코스피 200,20220317
