종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
000210,DL,1976-02-02,59400,1242683921200,61674,3688649000,20955884,67178.0,4.54,0.88,13077.0,2.19,1300.0,20220330
004840,DRB동일,1976-05-21,5220,103636000000,18136,94054960,19930000,17702.0,43.12,0.29,121.0,0.96,50.0,20220330
155660,DSR,2013-05-15,6590,105440000000,1054811,6975901950,16000000,10087.0,11.81,0.65,558.0,0.76,50.0,20220330
078930,GS,2004-08-05,42600,3953549333900,233232,9908192650,92915378,88213.0,0.0,0.48,0.0,4.46,1900.0,20220330
092220,KEC,2006-10-16,3025,439310607935,4306246,13317973550,144748141,1394.0,0.0,2.17,0.0,0.0,0.0,20220330
016380,KG동부제철,1986-02-03,11150,1115099201550,131232,1469572200,100008897,9715.0,16.69,1.15,668.0,0.9,100.0,20220330
001390,KG케미칼,1989-08-25,30350,421529318400,69555,2121438700,13866096,29370.0,9.04,1.03,3358.0,1.32,400.0,20220330
025000,KPX케미칼,1994-12-27,54300,262812000000,1310,71104300,4840000,108169.0,4.08,0.5,13307.0,5.06,2750.0,20220330
058860,KTis,2010-12-17,2445,85264900000,33454,81899065,34802000,4810.0,10.96,0.51,223.0,3.27,80.0,20220330
011070,LG이노텍,2008-07-24,387000,9147336855500,295531,114479432000,23667107,102576.0,38.78,3.77,9978.0,0.18,700.0,20220330
037560,LG헬로비전,2012-11-09,5370,415889665050,218845,1176942020,77446865,8149.0,0.0,0.66,0.0,1.4,75.0,20220330
108670,LX하우시스,2009-04-20,64200,575724414000,101684,6582583200,8967670,83775.0,0.0,0.77,0.0,0.47,300.0,20220330
383800,LX홀딩스,2021-05-27,9610,733820237800,170760,1638677270,76280690,0.0,0.0,0.0,0.0,0.0,0.0,20220330
023150,MH에탄올,1996-12-24,9640,71055205380,17319,166327190,7378526,8318.0,9.19,1.16,1049.0,3.63,350.0,20220330
035420,NAVER,2008-11-28,339000,55612639815000,452821,153702735500,164049085,44850.0,49.28,7.56,6877.0,0.12,402.0,20220330
010060,OCI,1985-07-09,104000,2492259269500,180756,18821348000,23849371,98159.0,0.0,1.06,0.0,0.0,0.0,20220330
402340,SK스퀘어,2021-11-29,56200,7964624247300,718947,40948928400,141467571,0.0,0.0,0.0,0.0,0.0,0.0,20220330
096770,SK이노베이션,2007-07-25,211500,19464001222000,253282,53641897500,92465564,155153.0,0.0,1.36,0.0,0.0,0.0,20220330
011810,STX,1990-09-12,4250,121498072230,122015,519210175,28621454,1314.0,0.0,3.23,0.0,0.0,0.0,20220330
024070,WISCOM,1996-11-22,3285,50194084450,20074,65557300,15326438,7616.0,0.0,0.43,0.0,1.52,50.0,20220330
011420,갤럭시아에스엠,1989-11-14,2625,72180067280,178873,468542345,27549644,752.0,72.94,3.49,36.0,0.0,0.0,20220330
002100,경농,1977-06-30,13300,259650247500,75923,1011539450,19522575,8886.0,18.84,1.5,706.0,1.88,250.0,20220330
012320,경동인베스트,1997-03-07,35650,83958316500,2092,74054450,2365023,178373.0,5.13,0.2,6956.0,1.4,500.0,20220330
007690,국도화학,1989-08-05,58600,528022097600,30761,1811609100,9010616,71901.0,14.07,0.82,4165.0,2.05,1200.0,20220330
005320,국동,1996-12-24,2445,134433447480,242472,590644935,55208808,2309.0,5.34,1.06,458.0,2.04,50.0,20220330
014530,극동유화,1991-01-31,4060,141569845200,352267,1412213410,34869420,4917.0,19.06,0.83,213.0,3.45,140.0,20220330
008350,남선알미늄,1978-05-22,4220,461650387100,262049192,1078834253410,110179090,1716.0,44.4,2.46,95.0,0.0,0.0,20220330
090350,노루페인트,2006-07-03,12250,245000000000,678920,8359542950,20000000,16315.0,13.94,0.75,879.0,2.24,275.0,20220330
353200,대덕전자,2020-05-21,28900,1428149132500,986714,28218979100,49416925,12381.0,0.0,2.33,0.0,1.04,300.0,20220330
128820,대성산업,2010-07-30,4570,207404666630,288724,1318051390,45235478,11151.0,3.23,0.41,1414.0,0.0,0.0,20220330
047040,대우건설,2001-03-23,6810,2838702617540,1583830,10816633070,415622638,6435.0,9.86,1.06,691.0,0.0,0.0,20220330
003090,대웅,1973-06-26,31700,1843100766000,44935,1424004100,58141980,11787.0,13.53,2.69,2343.0,0.32,100.0,20220330
000430,대원강업,1977-06-22,3215,199330000000,85000,273600920,62000000,7487.0,0.0,0.43,0.0,3.11,100.0,20220330
145720,덴티움,2017-03-15,71800,798062643000,76867,5593610900,11068830,20715.0,27.47,3.47,2614.0,0.28,200.0,20220330
282690,동아타이어,2017-11-29,12150,166856132250,10560,128081000,13733015,26714.0,12.51,0.45,971.0,6.58,800.0,20220330
286940,롯데정보통신,2018-07-27,38450,591988926950,22237,853033750,15396331,26847.0,19.47,1.43,1975.0,1.82,700.0,20220330
008560,메리츠증권,1992-01-15,6380,4335806482440,1616499,10301087230,681730579,6178.0,7.38,1.03,865.0,5.02,320.0,20220330
017180,명문제약,2008-07-10,4075,138360325050,82274,333827270,33953454,2568.0,0.0,1.59,0.0,0.0,0.0,20220330
012690,모나리자,1988-10-14,3620,132387943100,71559,259567780,36571255,1947.0,16.69,1.86,217.0,2.07,75.0,20220330
204210,모두투어리츠,2016-09-22,4875,37999186825,9259,45018645,7826815,,,,,,,20220330
003850,보령제약,1988-10-24,13200,906708000000,89048,1174065050,68690000,5367.0,29.02,2.46,455.0,0.76,100.0,20220330
001270,부국증권,1988-07-19,23800,247840275400,4553,108829400,10369886,41949.0,3.51,0.57,6784.0,5.04,1200.0,20220330
028050,삼성엔지니어링,1996-12-24,26650,5223400000000,905917,24159738950,196000000,8167.0,21.34,3.26,1249.0,0.0,0.0,20220330
005930,삼성전자,1975-06-11,69900,417287800245000,12617419,883825835450,5969782550,39406.0,18.2,1.77,3841.0,4.28,2994.0,20220330
068290,삼성출판사,2002-08-05,33150,331000000000,121252,4004113100,10000000,14285.0,6.23,2.32,5322.0,0.6,200.0,20220330
003230,삼양식품,1975-06-30,94500,706596807000,40631,3808938200,7533015,45470.0,10.59,2.08,8922.0,0.85,800.0,20220330
003720,삼영화학공업,1976-06-30,3315,112880000000,734751,2455197575,34000000,1297.0,552.5,2.56,6.0,0.0,0.0,20220330
004380,삼익THK,1989-09-26,13550,284550000000,74592,1014309500,21000000,9046.0,63.03,1.5,215.0,1.11,150.0,20220330
010960,삼호개발,2005-05-12,5170,128500000000,100441,519605630,25000000,8443.0,6.45,0.61,802.0,3.68,190.0,20220330
001290,상상인증권,1988-09-23,1220,130559116545,259781,316539755,107456063,1799.0,45.2,0.68,27.0,0.0,0.0,20220330
136490,선진,2011-02-16,11700,278221366800,297936,3438628500,23779604,15558.0,3.33,0.75,3516.0,0.85,100.0,20220330
004490,세방전지,1987-11-28,67300,940800000000,33464,2241783000,14000000,79003.0,13.69,0.85,4916.0,0.74,500.0,20220330
016590,신대양제지,1995-12-21,96000,387262050200,1274,122444300,4029782,112846.0,8.96,0.85,10710.0,0.65,625.0,20220330
