종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
088260,0.0,0.33,3.77,0.17,3.59,16.31
039130,6.97,3.04,5.17,15.48,5.04,21.52
306200,-4.33,5.74,12.18,13.22,0.0,24.3
289220,2.53,-6.2,0.68,-29.35,7.92,
029780,1.26,-0.31,1.1,-3.6,-5.87,-3.31
298050,1.65,1.13,14.12,-26.85,-20.36,64.61
006040,2.88,2.63,-6.33,-2.28,-12.09,-16.54
235980,4.78,1.83,2.7,-26.97,-41.6,-58.73
003070,2.91,1.92,8.16,-5.36,-7.63,10.99
001780,-1.23,-9.29,3.62,18.84,-7.29,-14.51
253450,1.56,5.33,15.06,5.45,4.48,-6.0
138250,0.0,0.0,7.69,7.28,-18.84,28.44
085660,3.44,3.74,6.18,-3.73,-24.48,-7.91
006800,1.08,-3.78,-2.77,-7.17,-4.65,-12.3
011040,0.0,-2.22,2.8,-12.0,1.38,12.24
263750,0.87,3.88,11.05,-14.34,10.82,72.61
267980,2.84,0.73,0.59,-0.15,-5.76,-4.18
078020,3.19,0.13,-2.87,-12.68,-16.03,7.2
002350,2.01,-1.94,-6.89,-9.39,-27.45,-24.85
037270,1.56,-0.83,7.19,-15.57,-9.6,13.83
005950,1.63,-3.47,-3.1,-25.37,-5.3,0.0
048530,4.13,14.4,19.5,-7.14,-1.15,-4.24
267270,4.98,6.96,-4.03,-5.75,-25.15,0.14
067310,1.59,0.0,5.22,-2.51,33.9,118.26
175330,1.64,0.12,-4.38,-5.39,-2.53,36.03
207940,3.12,3.26,5.16,-10.85,-16.85,5.44
000250,3.68,-3.56,-1.81,-21.49,-36.26,-44.14
151910,-0.9,-2.77,-9.39,-39.59,-36.72,-52.58
122900,1.93,0.0,0.0,-6.51,-16.94,15.25
298540,0.15,-4.24,14.53,10.06,3.51,22.16
271980,2.64,0.37,-6.04,-11.83,-31.57,-38.18
004890,-0.83,0.85,10.19,27.96,61.54,128.55
000070,2.75,-0.48,-7.64,-16.89,-22.09,-9.17
