종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
095570,0.0,2.54,14.34,28.17,13.93,29.33,20220415
006840,-1.28,-4.13,4.04,18.67,-12.78,-21.36,20220415
054620,-1.15,4.05,9.36,7.53,-20.43,20.09,20220415
027410,-1.15,-1.33,-0.77,0.58,-5.47,-26.63,20220415
282330,-0.55,0.56,0.28,24.65,2.87,12.54,20220415
138930,-0.88,-0.13,3.26,-10.82,-8.13,17.19,20220415
001460,-2.58,-1.2,1.69,-10.75,5.48,20.03,20220415
001465,-1.1,-0.83,0.56,-8.63,-0.28,11.11,20220415
001040,-0.91,0.35,6.99,7.26,-11.38,-10.75,20220415
035760,1.24,3.33,0.31,-3.41,-25.37,-9.32,20220415
00104K,-0.13,0.0,4.32,6.25,-8.78,-3.23,20220415
000120,0.78,6.56,-3.35,4.42,-12.16,-25.5,20220415
011150,1.32,3.55,7.78,6.83,10.03,-10.2,20220415
011155,0.39,1.84,-2.03,3.34,-3.97,3.48,20220415
001045,-0.76,-0.57,7.01,5.17,-13.5,-13.5,20220415
097950,-1.78,-2.28,12.05,2.52,-4.22,-7.43,20220415
097955,0.28,4.07,11.87,4.37,-10.05,-7.73,20220415
051500,7.57,8.3,6.85,39.16,15.36,65.83,20220415
058820,-1.53,-2.28,-4.03,-8.79,-20.91,-33.09,20220415
023460,-0.41,-3.79,11.32,2.34,-26.86,-35.56,20220415
056730,0.0,0.0,0.0,0.0,0.0,0.0,20220415
056000,0.0,0.0,0.0,0.0,0.0,0.0,20220415
000590,0.15,2.99,0.73,6.32,9.0,-3.09,20220415
012030,-0.99,-3.38,11.36,3.41,0.81,6.27,20220415
367340,1.14,3.73,5.2,5.45,4.95,5.95,20220415
367360,-0.23,0.92,2.81,4.28,4.77,5.53,20220415
016610,-0.15,-0.15,4.54,-1.76,-1.62,1.83,20220415
005830,-1.57,-3.09,16.39,6.66,5.35,51.43,20220415
000990,-2.34,1.58,2.61,-16.21,38.82,31.35,20220415
000995,-0.2,-0.2,8.24,-0.7,-1.19,-13.59,20220415
139130,-0.33,-1.3,0.33,-6.65,-6.17,12.87,20220415
001880,-1.09,-3.21,-11.73,-13.42,-10.26,-22.46,20220415
000215,0.38,-0.12,7.54,6.25,-4.54,-15.81,20220415
375500,-1.33,-5.87,-54.56,-53.49,-55.91,-55.75,20220415
37550K,-0.55,-5.15,-48.93,-48.57,-53.19,-54.21,20220415
068790,-0.46,-0.46,2.54,-9.54,-0.15,-26.03,20220415
004840,0.0,1.51,7.8,2.86,-5.77,-20.97,20220415
155660,1.84,0.33,5.17,6.09,-29.8,2.18,20220415
069730,1.17,-0.38,8.54,8.2,-39.98,-9.39,20220415
017940,-1.38,-1.06,1.86,-1.89,-15.43,-0.21,20220415
079190,1.06,-6.25,-1.38,5.17,-25.39,-48.74,20220415
050120,-0.18,-0.7,7.58,21.37,25.11,4.22,20220415
114090,1.97,1.64,4.03,12.73,-8.28,-0.96,20220415
900290,0.81,0.0,-0.8,0.81,30.39,30.39,20220415
078930,-0.11,2.08,10.78,10.78,-1.34,6.76,20220415
083450,-1.94,-2.26,3.95,-13.69,14.37,12.04,20220415
001250,-1.9,31.99,54.27,53.94,20.33,38.85,20220415
078935,-0.41,0.0,4.35,5.42,-2.7,4.05,20220415
078150,-1.15,11.02,6.64,1.98,6.86,-35.1,20220415
012630,-0.7,-2.06,-7.89,-10.78,-32.83,-41.64,20220415
089470,-0.64,0.65,-2.32,-10.17,-25.6,-26.43,20220415
294870,-1.35,-1.68,-11.75,-22.49,-44.3,-48.05,20220415
267250,1.38,7.12,12.02,9.51,-8.71,-1.34,20220415
097230,1.6,3.65,9.15,2.88,-15.24,1.86,20220415
036640,0.25,-0.5,-6.23,9.47,-3.16,28.5,20220415
335870,2.15,1.49,12.8,9.17,3.03,8.92,20220415
351340,1.54,2.44,8.71,6.94,8.2,7.94,20220415
099520,0.0,0.0,0.0,0.0,0.0,0.0,20220415
175330,0.0,2.35,8.05,0.46,1.87,34.57,20220415
950170,0.45,-1.75,3.34,18.16,-16.23,-9.75,20220415
234080,1.37,1.37,2.07,6.86,-1.33,-24.68,20220415
035900,2.09,-2.01,18.95,42.79,50.59,85.92,20220415
024840,1.0,0.5,5.48,-1.46,-4.04,-15.3,20220415
024120,1.24,18.58,24.83,6.07,7.78,-26.6,20220415
002380,4.83,5.49,3.22,-10.15,-13.16,23.49,20220415
021320,2.13,1.8,-5.52,10.23,-7.34,-8.67,20220415
344820,0.97,1.95,-2.18,-0.63,-0.95,11.37,20220415
036670,-0.44,-0.33,5.03,-0.22,5.65,-7.9,20220415
009070,-1.07,2.69,13.24,8.7,9.98,3.17,20220415
009440,1.32,1.69,3.69,-7.25,-17.42,-13.52,20220415
112190,0.5,-1.48,-3.16,-7.22,-18.59,15.51,20220415
151860,3.51,8.36,34.44,15.3,5.88,151.16,20220415
046440,-1.17,-1.28,3.23,-5.98,0.22,-11.2,20220415
016380,5.81,15.56,69.3,61.06,38.93,25.09,20220415
016385,5.88,54.84,254.68,275.78,252.94,205.08,20220415
035600,-1.56,-3.56,3.84,8.6,1.88,-8.01,20220415
001390,7.6,23.1,62.37,47.32,42.9,64.73,20220415
001940,-0.56,1.44,0.86,14.98,-18.1,0.57,20220415
122450,-0.71,1.93,10.04,6.7,-10.59,-25.64,20220415
058400,-0.75,-1.13,1.94,1.15,-14.89,-39.54,20220415
