종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
000210,DL,1976-02-02,58100,1209154506800,189313,11064008200,20955884,173922.0,1.39,0.33,41881.0,3.27,1900.0,20220929
004840,DRB동일,1976-05-21,3985,78225250000,111698,462235500,19930000,18916.0,0.0,0.21,0.0,0.75,30.0,20220929
155660,DSR,2013-05-15,4550,73200000000,49043,226098235,16000000,10991.0,5.92,0.41,768.0,1.1,50.0,20220929
078930,GS,2004-08-05,41800,3888508569300,223438,9441785150,92915378,108672.0,2.73,0.38,15304.0,4.78,2000.0,20220929
294870,HDC현대산업개발,2018-06-12,10450,688731598500,194259,2048758650,65907330,43665.0,3.9,0.24,2679.0,5.74,600.0,20220929
001390,KG케미칼,1989-08-25,21450,300200978400,142875,3160781800,13866096,34343.0,3.73,0.62,5749.0,2.33,500.0,20220929
025000,KPX케미칼,1994-12-27,48200,234982000000,2415,116565150,4840000,119120.0,4.76,0.4,10123.0,5.71,2750.0,20220929
044450,KSS해운,2007-10-26,8900,206156908400,39901,363715990,23085880,15261.0,3.56,0.58,2497.0,3.93,350.0,20220929
058860,KTis,2010-12-17,2600,90659210000,66000,173567085,34802000,5909.0,3.39,0.44,767.0,3.85,100.0,20220929
011070,LG이노텍,2008-07-24,275000,6532121532000,552224,155582300000,23667107,140050.0,7.33,1.96,37537.0,1.09,3000.0,20220929
037560,LG헬로비전,2012-11-09,4210,328761941925,309156,1336828505,77446865,8424.0,12.1,0.5,348.0,2.61,110.0,20220929
108670,LX하우시스,2009-04-20,33100,297278260500,23721,796151600,8967670,86527.0,25.34,0.38,1306.0,0.91,300.0,20220929
383800,LX홀딩스,2021-05-27,8250,629315692500,96000,794119990,76280690,18209.0,4.49,0.45,1839.0,0.0,0.0,20220929
023150,MH에탄올,1996-12-24,7500,55634086040,19903,151130820,7378526,9654.0,8.26,0.78,908.0,4.67,350.0,20220929
035420,NAVER,2008-11-28,196500,32235645202500,605735,121661061000,164049085,157641.0,1.77,1.25,110854.0,0.26,511.0,20220929
010060,OCI,1985-07-09,92400,2206066817500,610234,57187460200,23849371,128783.0,3.37,0.72,27387.0,2.16,2000.0,20220929
178920,PI첨단소재,2021-08-09,30350,888331240500,182591,5665105350,29366322,11097.0,13.93,2.73,2179.0,3.59,1090.0,20220929
402340,SK스퀘어,2021-11-29,35750,5050392284700,396616,14458439500,141467571,117868.0,13.48,0.3,2653.0,0.0,0.0,20220929
096770,SK이노베이션,2007-07-25,146000,13546205126000,422748,63438859500,92465564,206117.0,40.11,0.71,3640.0,1.72,2508.0,20220929
011810,STX,1990-09-12,3110,89871365560,1821569,6272320260,28621454,2337.0,0.0,1.33,0.0,0.0,0.0,20220929
024070,WISCOM,1996-11-22,2770,42760762020,20491,56673250,15326438,7839.0,35.06,0.35,79.0,1.81,50.0,20220929
011420,갤럭시아에스엠,1989-11-14,1770,49313862760,217773,390034435,27549644,1200.0,13.21,1.48,134.0,0.0,0.0,20220929
002100,경농,1977-06-30,8930,175703175000,22861,205910210,19522575,11888.0,10.03,0.75,890.0,3.92,350.0,20220929
012320,경동인베스트,1997-03-07,29650,70595936550,6596,197896250,2365023,197979.0,4.42,0.15,6714.0,2.53,750.0,20220929
007690,국도화학,1989-08-05,43400,391060734400,19493,864862550,9010616,92708.0,2.04,0.47,21321.0,5.07,2200.0,20220929
001140,국보,1989-12-02,906,71363320321,998887,886287474,79380779,477.0,0.0,1.9,0.0,0.0,0.0,20220929
014530,극동유화,1991-01-31,3410,119079069300,168578,576177040,34869420,5350.0,10.06,0.64,339.0,4.69,160.0,20220929
090350,노루페인트,2006-07-03,7500,150400000000,111690,857672720,20000000,16859.0,10.62,0.44,706.0,3.67,275.0,20220929
005250,녹십자홀딩스,1978-08-28,16450,778316875500,81623,1363965550,47028210,22586.0,13.46,0.73,1222.0,2.43,400.0,20220929
353200,대덕전자,2020-05-21,20600,1025401193750,730678,15567939600,49416925,13237.0,16.84,1.56,1223.0,1.46,300.0,20220929
128820,대성산업,2010-07-30,3960,180037202440,493468,1967493190,45235478,12567.0,0.0,0.32,0.0,0.0,0.0,20220929
047040,대우건설,2001-03-23,4125,1718599608130,1199575,5016837615,415622638,7817.0,3.5,0.53,1180.0,0.0,0.0,20220929
000430,대원강업,1977-06-22,2670,165850000000,25408,68233295,62000000,7461.0,0.0,0.36,0.0,3.75,100.0,20220929
000020,동화약품,1976-03-24,8400,232948459800,75113,629945660,27931470,12534.0,12.98,0.67,647.0,2.14,180.0,20220929
336260,두산퓨얼셀,2019-10-18,28450,1860021818400,298347,8724264200,65493726,6332.0,268.4,4.49,106.0,0.0,0.0,20220929
286940,롯데정보통신,2018-07-27,23400,367972310900,12315,291317250,15396331,28633.0,10.21,0.82,2291.0,2.99,700.0,20220929
008560,메리츠증권,1992-01-15,3735,2376524800985,1502125,5719173005,639710579,8360.0,3.11,0.45,1201.0,2.68,100.0,20220929
000060,메리츠화재,1956-07-02,30350,3453314050000,108263,3316145750,113783000,22086.0,5.26,1.37,5768.0,2.04,620.0,20220929
017180,명문제약,2008-07-10,2560,86411540430,234382,607066895,33953454,2374.0,0.0,1.08,0.0,0.0,0.0,20220929
012690,모나리자,1988-10-14,2820,104228076750,143890,416752525,36571255,2058.0,31.69,1.37,89.0,0.0,0.0,20220929
204210,모두투어리츠,2016-09-22,4555,35964214925,1672,7613365,7826815,,,,,,,20220929
096300,베트남개발1,2007-06-13,192,26434600512,62145175,11838794085,137680211,,,,,,,20220929
003850,보령,1988-10-24,10450,717810500000,742009,7774776150,68690000,7192.0,15.17,1.45,689.0,0.96,100.0,20220929
001270,부국증권,1988-07-19,20900,216212123100,1148,23922850,10369886,74017.0,2.41,0.28,8672.0,7.66,1600.0,20220929
030790,비케이탑스,2010-11-02,904,19208323080,0,0,21248145,333.0,0.0,2.71,0.0,0.0,0.0,20220929
028050,삼성엔지니어링,1996-12-24,21950,4312000000000,756470,16869524600,196000000,10216.0,11.55,2.15,1900.0,0.0,0.0,20220929
005930,삼성전자,1975-06-11,52600,315204518640000,13658169,725980912700,5969782550,43611.0,9.11,1.21,5777.0,2.75,1444.0,20220929
068290,삼성출판사,2002-08-05,20700,208000000000,40244,851314900,10000000,18982.0,65.51,1.09,316.0,0.97,200.0,20220929
