종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
060310,-3.06,-7.71,-22.01,-22.14,-37.96,-40.85,20221012
095570,0.0,-3.79,-14.27,0.44,6.04,21.02,20221012
006840,-1.99,-5.02,-21.9,-22.15,-47.66,-53.05,20221012
054620,0.0,-3.38,-30.33,18.59,-25.96,-37.69,20221012
265520,2.48,-0.9,-12.47,-1.2,-26.17,-28.26,20221012
211270,2.0,-0.35,-16.02,-20.28,-39.51,-46.93,20221012
027410,0.31,-5.02,-18.3,-21.1,-38.76,-40.24,20221012
282330,-0.29,3.31,8.2,-6.79,-3.92,-1.44,20221012
032790,0.0,0.0,0.0,0.0,0.0,0.0,20221012
138930,-0.16,-0.32,-5.22,-4.34,-22.58,-28.84,20221012
001460,0.4,0.13,-2.95,-6.43,-16.63,-9.88,20221012
001465,0.36,-3.45,-1.41,-9.39,-22.65,-22.01,20221012
001040,2.36,0.87,-6.72,-10.68,-19.11,-28.23,20221012
035760,2.58,-1.05,-17.03,-26.98,-38.67,-55.19,20221012
00104K,2.07,0.0,-6.01,-8.82,-12.91,-20.37,20221012
000120,-2.12,-9.24,-30.75,-31.65,-36.1,-45.61,20221012
011150,-0.57,-5.12,-14.5,-16.83,-35.61,-29.29,20221012
011155,0.0,-0.78,-8.99,-12.76,-34.29,-36.43,20221012
001045,0.54,-1.27,-6.04,-1.58,-9.5,-20.71,20221012
097950,-0.5,-1.0,2.05,-1.24,1.14,1.53,20221012
097955,0.3,-0.89,0.6,-0.6,-4.03,-15.27,20221012
051500,-0.5,-11.47,-8.37,-18.76,-18.43,-8.09,20221012
058820,0.24,-6.0,-19.27,-21.08,-33.49,-44.85,20221012
023460,-1.69,0.77,13.48,45.0,5.67,-15.94,20221012
065770,-2.46,-5.44,-23.63,-33.49,-42.08,-63.47,20221012
000590,-0.38,-1.5,-22.95,-11.43,-21.69,-16.35,20221012
012030,0.14,-0.27,-4.68,-6.62,-28.04,-24.41,20221012
367340,-0.48,-2.12,-1.19,-2.35,-5.02,-1.42,20221012
367360,0.0,-1.65,-0.48,-3.02,-5.0,0.97,20221012
016610,-0.23,-2.02,-10.11,-11.21,-34.9,-33.51,20221012
005830,-1.99,-2.34,-8.45,-9.06,-23.01,-17.25,20221012
000990,0.38,1.15,-5.28,-4.83,-43.07,-21.88,20221012
000995,-0.23,2.14,10.53,5.39,-12.41,-10.5,20221012
139130,0.0,-0.28,-3.45,-7.65,-24.65,-30.35,20221012
000210,2.98,0.86,-10.52,-10.79,-0.68,-15.3,20221012
001880,-0.33,-1.32,-18.97,-26.35,-44.53,-49.15,20221012
000215,1.34,-0.58,-10.5,-11.43,-14.32,-18.32,20221012
37550K,-1.05,-3.1,-21.31,-15.04,-34.86,-68.86,20221012
068790,-1.29,-2.55,-18.13,-6.05,-28.02,-25.57,20221012
007340,-0.66,-3.38,-11.76,20.0,-21.57,22.7,20221012
004840,-0.73,-2.39,-8.41,-10.42,-23.79,-25.86,20221012
241520,-0.4,-0.93,-15.67,-8.45,-32.0,-30.09,20221012
155660,5.15,3.07,-14.39,-9.96,-20.88,-44.77,20221012
069730,1.09,-1.54,-13.77,-10.72,-16.87,-50.12,20221012
017940,0.47,-3.39,-7.36,-3.82,-8.35,-21.47,20221012
278990,0.0,-0.44,-13.46,-19.64,-40.71,-57.35,20221012
050120,-1.74,-12.8,1.94,5.61,-29.84,-6.73,20221012
007700,0.36,-3.1,-19.48,-26.44,-49.55,-60.03,20221012
130500,0.61,-2.37,-17.5,-33.06,-37.74,-36.17,20221012
114090,-0.66,-0.66,-7.12,12.78,-0.33,-6.54,20221012
900290,-0.71,2.19,71.25,123.11,127.64,194.43,20221012
078930,0.46,1.38,-2.97,12.37,1.03,-2.11,20221012
083450,0.25,2.05,-0.5,-3.63,-34.54,-21.96,20221012
006360,6.5,-0.22,-18.62,-19.61,-46.5,-43.96,20221012
001250,-1.46,-3.57,-21.17,-22.41,-29.87,-5.26,20221012
007070,0.82,-1.8,-6.29,0.82,-14.29,-23.72,20221012
078935,0.0,-0.14,-3.48,1.61,-3.34,-6.22,20221012
078150,0.83,-0.27,-9.43,-16.09,-21.34,-17.98,20221012
012630,-0.52,-2.22,-14.73,-11.02,-19.41,-44.64,20221012
089470,-1.67,-2.42,-10.72,1.73,-16.74,-33.51,20221012
294870,1.94,-1.41,-13.58,-4.11,-28.57,-59.62,20221012
267250,0.69,1.22,-3.33,12.19,4.69,-10.36,20221012
097230,-4.27,-4.83,-32.64,-39.41,-47.73,-59.24,20221012
195940,4.23,0.3,-13.97,-19.59,-19.39,-49.77,20221012
204320,-1.06,-7.17,-23.13,-18.03,-14.88,-28.36,20221012
060980,1.68,-3.19,-19.74,-17.89,-25.55,-40.24,20221012
036640,-5.38,-8.65,-10.51,-12.0,-31.61,-27.77,20221012
335870,-24.29,-48.9,-46.56,52.35,55.21,63.02,20221012
351340,-1.08,-4.69,-9.63,-11.38,-19.38,-13.68,20221012
388790,0.0,0.0,0.0,0.0,-1.33,3.97,20221012
099520,0.0,0.0,0.0,0.0,0.0,0.0,20221012
175330,1.27,1.27,-0.14,1.56,-17.38,-16.51,20221012
950170,-0.14,5.94,23.48,37.92,-16.36,-28.75,20221012
234080,1.77,0.0,-7.26,-13.86,-20.14,-20.96,20221012
035900,6.0,-1.05,-10.32,3.1,-9.6,38.65,20221012
024840,-3.93,-2.18,-20.41,-20.88,-31.55,-32.41,20221012
024120,0.7,-7.35,-23.62,-36.46,-54.61,-45.52,20221012
002380,3.38,0.41,-13.73,-11.55,-21.85,-35.27,20221012
021320,1.46,-1.07,-13.82,-15.27,-40.0,-44.5,20221012
344820,0.37,-2.65,-17.64,-7.97,-33.66,-36.38,20221012
036670,-1.96,-0.12,-7.09,6.23,-4.05,2.77,20221012
009070,-1.13,-2.37,-16.86,-9.47,-37.48,-31.94,20221012
009440,-0.84,-4.69,-22.6,-39.59,-28.52,-40.74,20221012
112190,4.57,6.77,-0.42,4.72,-11.58,-26.58,20221012
151860,-1.37,-7.7,-26.24,-42.66,-49.53,-41.69,20221012
046440,-0.19,-4.5,-19.79,-21.33,-44.57,-40.93,20221012
016380,0.0,-5.15,-19.0,-34.68,-54.24,-34.68,20221012
035600,-0.43,-0.43,-16.85,-12.12,-39.74,-37.63,20221012
001390,0.7,-0.69,-14.34,-12.07,-52.01,-29.74,20221012
060720,-2.37,-7.14,-29.02,-33.06,-36.83,-44.12,20221012
058400,0.0,-0.34,-10.36,-11.08,-31.55,-42.1,20221012
114450,-2.59,-13.3,-15.07,-30.3,-36.68,-45.96,20221012
025000,0.52,0.73,-1.73,1.47,-10.87,-18.79,20221012
092230,-0.19,-1.68,-10.22,-11.43,-13.46,-19.05,20221012
030200,1.33,-4.32,-8.28,-7.54,-4.58,12.62,20221012
033780,0.12,1.16,4.57,7.14,6.1,8.21,20221012
058850,0.94,-1.15,-5.71,1.9,-6.54,-14.54,20221012
058860,1.02,-3.52,-12.43,-4.27,0.2,0.61,20221012
060370,-7.42,-8.6,-9.18,-10.03,-2.21,9.33,20221012
122450,-0.68,-3.61,-19.45,-23.54,-27.85,-34.08,20221012
093050,0.68,-1.99,-11.11,-4.52,-18.9,-15.19,20221012
003550,3.7,4.53,0.64,2.21,7.68,-15.32,20221012
034220,-1.8,0.74,-10.2,-8.39,-26.22,-22.22,20221012
051900,-5.22,-8.79,-11.3,-18.74,-34.13,-56.51,20221012
051905,-1.93,-9.35,-12.59,-6.0,-38.78,-53.64,20221012
003555,2.38,1.01,-3.68,-0.82,-0.66,-10.15,20221012
032640,-0.48,-4.13,-6.7,-14.34,-27.43,-26.67,20221012
011070,-1.39,0.53,-15.85,-15.85,-23.14,47.15,20221012
066570,2.05,0.76,-14.93,-12.4,-34.86,-35.65,20221012
066575,0.13,0.13,-10.9,-11.93,-35.57,-40.0,20221012
037560,-0.36,-3.78,-13.12,-22.27,-18.67,-37.98,20221012
051910,-1.01,5.54,-8.23,14.31,17.03,-25.75,20221012
051915,-1.81,2.65,-8.28,14.08,4.22,-27.79,20221012
079550,4.78,3.17,-8.89,42.23,34.91,93.83,20221012
006260,1.02,3.65,-8.31,15.28,10.99,-4.94,20221012
010120,0.31,-2.52,-13.94,-3.87,11.0,-23.46,20221012
000680,-2.94,-4.35,-6.71,-2.22,-27.97,-19.63,20221012
229640,-1.24,-2.84,-8.76,5.43,-9.22,-13.37,20221012
108320,0.98,-0.24,-7.64,-7.01,-43.7,-17.3,20221012
001120,2.98,3.47,-3.14,50.0,21.18,38.02,20221012
108670,0.32,-5.94,-23.64,-22.14,-45.99,-56.28,20221012
108675,-1.86,-2.76,-20.55,-17.88,-45.34,-54.06,20221012
383800,0.12,-0.72,0.49,-3.95,-12.22,-5.17,20221012
38380K,0.49,1.97,-6.76,-13.03,-27.37,-24.18,20221012
023150,0.0,-1.17,-8.21,-9.2,-20.25,-42.86,20221012
160550,3.02,-0.91,-25.03,-26.55,-47.6,-59.18,20221012
053290,0.92,-4.81,-19.83,-30.32,-50.83,-74.69,20221012
104200,-2.61,-8.5,-30.69,-37.01,-64.89,9.38,20221012
005945,0.22,-3.13,-8.38,-0.88,-20.27,-24.3,20221012
338100,-0.93,-3.95,-6.38,-5.76,-15.41,-12.0,20221012
034310,0.82,-0.4,-14.88,-14.29,-25.9,-29.71,20221012
030190,5.46,-7.38,-15.2,-12.54,-33.24,-38.33,20221012
008260,0.95,-1.19,-17.13,-22.48,-27.25,-2.99,20221012
004250,2.93,-2.64,-21.03,-19.68,-21.12,11.61,20221012
004255,0.29,-4.41,-23.48,-24.89,-16.28,10.33,20221012
010060,-1.17,-1.9,-11.94,-21.6,-13.18,-35.26,20221012
178920,1.37,0.91,-8.9,2.15,-28.65,-37.73,20221012
024940,2.4,0.79,-2.85,10.94,-10.33,-15.65,20221012
091340,-1.96,-5.65,-22.96,-21.19,-38.82,-37.76,20221012
010950,0.47,-0.82,-12.56,-5.56,-15.1,-24.53,20221012
010955,1.24,1.06,-5.62,0.35,-2.73,-12.42,20221012
019550,-0.97,-5.56,-25.82,-26.88,-32.67,-34.19,20221012
034120,-1.1,0.32,-15.87,-25.68,-35.81,-44.55,20221012
046140,-2.03,-9.25,-18.96,-10.47,-34.0,-31.17,20221012
036120,-11.31,-0.36,50.0,30.46,32.11,38.5,20221012
036540,0.92,2.22,-8.28,-16.67,-33.21,-25.85,20221012
040610,2.3,-0.95,-19.79,-19.59,-36.97,-32.76,20221012
005090,-2.45,-0.16,-8.86,-2.3,-39.58,-35.62,20221012
001380,0.98,-8.0,-23.33,-26.07,-46.23,-51.97,20221012
004060,0.89,2.9,-3.07,6.17,-17.2,-12.62,20221012
001770,-1.91,5.4,32.9,42.86,29.54,61.42,20221012
002360,0.77,-1.71,-17.03,-7.53,-13.93,-21.95,20221012
009160,0.55,-2.34,-25.97,-23.88,-49.17,-48.37,20221012
123700,-2.17,-3.84,-8.03,-3.43,-23.96,-26.6,20221012
025530,-1.15,-18.3,29.5,29.07,1.44,9.75,20221012
337450,0.0,0.0,-26.18,-28.73,46.79,53.48,20221012
340350,0.0,0.0,-1.71,-6.07,-7.8,-3.37,20221012
011790,10.24,8.69,-16.58,-26.51,-41.02,-39.48,20221012
018670,-2.6,3.21,-4.26,5.63,0.0,-25.74,20221012
001740,-0.64,-3.6,-9.87,-7.29,-15.65,-23.17,20221012
001745,-16.15,9.6,37.27,12.34,-16.6,-26.98,20221012
006120,-0.33,-0.5,-15.3,-14.33,-26.81,-37.9,20221012
006125,-0.18,-1.25,-9.64,-7.21,-16.47,-34.01,20221012
210980,0.45,-2.42,-12.77,-5.13,-23.45,-29.41,20221012
068400,0.44,-3.82,-18.49,-14.59,-41.47,-41.21,20221012
326030,-1.12,-4.49,-21.99,-31.97,-37.12,-47.06,20221012
361610,-0.58,-2.48,-33.29,-37.83,-59.44,-73.86,20221012
03473K,-0.29,-0.58,-8.99,-4.44,-20.74,-24.56,20221012
096770,0.96,0.64,-16.89,-5.41,-21.45,-38.6,20221012
096775,-0.21,-0.63,-18.35,-12.65,-25.18,-40.0,20221012
001510,0.62,-0.46,-10.06,-8.16,-25.88,-24.42,20221012
001515,-0.87,-0.17,-4.35,-3.21,-24.34,-20.11,20221012
000660,4.21,4.68,3.98,0.0,-15.32,2.73,20221012
064960,1.36,-2.15,-17.15,-2.84,-6.7,-18.39,20221012
100840,1.84,9.32,-11.85,23.25,5.74,-8.94,20221012
003570,-1.7,-10.43,-14.17,37.13,14.16,3.92,20221012
036530,-0.36,-3.79,-12.54,-9.12,-18.18,-20.06,20221012
005610,-3.12,-5.71,-2.51,-3.36,-16.02,-0.51,20221012
011810,-5.55,3.09,30.92,38.66,-1.03,7.96,20221012
077970,3.63,-5.51,-16.56,3.63,-10.45,33.85,20221012
071970,4.63,0.0,-17.06,-5.42,-25.87,-19.58,20221012
002820,-0.14,-5.0,-14.16,-20.39,-33.68,-30.67,20221012
289080,-2.83,-5.94,-21.52,-26.95,-37.76,-33.87,20221012
084870,-2.38,-4.37,-14.81,-15.46,-20.96,-37.88,20221012
089230,-6.23,-7.49,-18.78,-28.07,-41.85,-55.01,20221012
161570,-3.71,-4.3,-25.79,-23.36,-41.93,-29.43,20221012
032540,2.06,0.37,-11.69,-9.18,-37.11,-8.11,20221012
022220,-1.81,-6.21,-17.82,-25.48,-33.0,-37.33,20221012
069260,-0.25,2.79,-13.46,9.46,-9.8,-24.58,20221012
073570,-4.17,2.14,249.27,210.5,105.63,95.28,20221012
024070,-0.72,-3.35,-12.3,-13.54,-17.07,-26.31,20221012
057030,-2.33,-4.69,-17.39,-22.0,-43.7,-41.54,20221012
037270,0.24,-9.48,-29.35,-27.86,-42.91,-41.61,20221012
040300,-17.97,-22.53,49.93,54.94,55.59,65.77,20221012
051390,-1.82,-2.12,-11.14,-11.26,-24.27,-16.65,20221012
052220,-16.08,-5.47,36.51,36.07,-14.26,-6.64,20221012
079940,-0.31,-4.0,-16.61,-15.13,-32.94,-18.03,20221012
000500,-3.73,-2.82,-18.42,-30.96,-40.04,-42.38,20221012
000860,-0.48,-4.13,-8.93,-1.65,-16.73,-15.38,20221012
035250,0.85,0.63,-6.65,-1.45,-13.27,-16.02,20221012
094480,1.52,-5.63,-23.86,-32.32,-53.79,-29.79,20221012
011420,-0.83,-5.29,-10.72,-0.83,-25.88,-11.82,20221012
