종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
000210,DL,1976-02-02,63200,1320220692000,69334,4410464500,20955884,173922.0,1.51,0.36,41881.0,3.01,1900.0,20220509
004840,DRB동일,1976-05-21,5610,112803800000,102018,577216590,19930000,18916.0,0.0,0.3,0.0,0.53,30.0,20220509
155660,DSR,2013-05-15,6160,98400000000,208383,1294470190,16000000,10991.0,8.02,0.56,768.0,0.81,50.0,20220509
078930,GS,2004-08-05,48450,4511041601900,735459,35745205100,92915378,108672.0,3.17,0.45,15304.0,4.13,2000.0,20220509
001390,KG케미칼,1989-08-25,37900,523445124000,387146,14568686300,13866096,34343.0,6.59,1.1,5749.0,1.32,500.0,20220509
025000,KPX케미칼,1994-12-27,52200,254100000000,4547,239013300,4840000,119120.0,5.16,0.44,10123.0,5.27,2750.0,20220509
058860,KTis,2010-12-17,2540,88397080000,104896,266798465,34802000,5909.0,3.31,0.43,767.0,3.94,100.0,20220509
011070,LG이노텍,2008-07-24,332000,7881146631000,171791,57403556500,23667107,140050.0,8.84,2.37,37537.0,0.9,3000.0,20220509
037560,LG헬로비전,2012-11-09,5880,455387566200,1086604,6533594440,77446865,8424.0,16.9,0.7,348.0,1.87,110.0,20220509
108670,LX하우시스,2009-04-20,53200,475286510000,79780,4268464200,8967670,86527.0,40.74,0.61,1306.0,0.56,300.0,20220509
383800,LX홀딩스,2021-05-27,9910,758230058600,361122,3602007910,76280690,18209.0,5.39,0.54,1839.0,0.0,0.0,20220509
023150,MH에탄올,1996-12-24,10550,77474523000,108252,1137603000,7378526,9654.0,11.62,1.09,908.0,3.32,350.0,20220509
035420,NAVER,2008-11-28,275000,45195522917500,534375,146634843120,164049085,157641.0,2.48,1.74,110854.0,0.19,511.0,20220509
010060,OCI,1985-07-09,106000,2551882697000,149375,16011208500,23849371,128783.0,3.87,0.82,27387.0,1.89,2000.0,20220509
402340,SK스퀘어,2021-11-29,45850,6486288130350,1120412,51981689400,141467571,117868.0,17.28,0.39,2653.0,0.0,0.0,20220509
096770,SK이노베이션,2007-07-25,204500,18862975056000,300872,61457816500,92465564,206117.0,56.18,0.99,3640.0,1.23,2508.0,20220509
011810,STX,1990-09-12,4285,121211857690,84823,362329095,28621454,2337.0,0.0,1.83,0.0,0.0,0.0,20220509
024070,WISCOM,1996-11-22,3345,51343567300,107320,362896780,15326438,7839.0,42.34,0.43,79.0,1.49,50.0,20220509
011420,갤럭시아에스엠,1989-11-14,2190,61022461460,328718,718788825,27549644,1200.0,16.34,1.83,134.0,0.0,0.0,20220509
002100,경농,1977-06-30,13500,264530891250,99950,1374554800,19522575,11888.0,15.17,1.14,890.0,2.59,350.0,20220509
012320,경동인베스트,1997-03-07,36950,87742353300,2714,100752650,2365023,197979.0,5.5,0.19,6714.0,2.03,750.0,20220509
007690,국도화학,1989-08-05,53700,482969017600,54492,2941279000,9010616,92708.0,2.52,0.58,21321.0,4.1,2200.0,20220509
005320,국동,1996-12-24,2200,121725208000,305329,679289280,55329640,1901.0,0.0,1.16,0.0,0.0,0.0,20220509
014530,극동유화,1991-01-31,4475,155691960300,2151396,10090324120,34869420,5350.0,13.2,0.84,339.0,3.58,160.0,20220509
090350,노루페인트,2006-07-03,10550,211000000000,247357,2627165550,20000000,16859.0,14.94,0.63,706.0,2.61,275.0,20220509
005250,녹십자홀딩스,1978-08-28,20300,957024073500,127066,2605675200,47028210,22586.0,16.61,0.9,1222.0,1.97,400.0,20220509
353200,대덕전자,2020-05-21,28600,1425678286250,1235407,36238421350,49416925,13237.0,23.39,2.16,1223.0,1.05,300.0,20220509
128820,대성산업,2010-07-30,5100,231605647360,511121,2637068060,45235478,12567.0,0.0,0.41,0.0,0.0,0.0,20220509
047040,대우건설,2001-03-23,6440,2689078467860,2542321,16586073140,415622638,7817.0,5.46,0.82,1180.0,0.0,0.0,20220509
000430,대원강업,1977-06-22,3415,209870000000,122027,416871570,62000000,7461.0,0.0,0.46,0.0,2.93,100.0,20220509
145720,덴티움,2017-03-15,65200,723901482000,165417,10720646200,11068830,33841.0,10.13,1.93,6434.0,0.38,250.0,20220509
000020,동화약품,1976-03-24,11750,329591346000,207104,2445760700,27931470,12534.0,18.16,0.94,647.0,1.53,180.0,20220509
034020,두산에너빌리티,2000-10-25,20950,13210307663300,4065406,85269180800,632072137,11261.0,19.91,1.86,1052.0,0.0,0.0,20220509
336260,두산퓨얼셀,2019-10-18,38150,2498585646900,1335986,51879264750,65493726,6332.0,359.91,6.02,106.0,0.0,0.0,20220509
286940,롯데정보통신,2018-07-27,32200,502690207150,71767,2340208350,15396331,28633.0,14.05,1.12,2291.0,2.17,700.0,20220509
008560,메리츠증권,1992-01-15,6390,4216061799810,992364,6341795410,659790579,8360.0,5.32,0.76,1201.0,1.56,100.0,20220509
017180,명문제약,2008-07-10,3595,122062667130,99862,363191925,33953454,2374.0,0.0,1.51,0.0,0.0,0.0,20220509
012690,모나리자,1988-10-14,3710,136045068600,113149,423617015,36571255,2058.0,41.69,1.8,89.0,0.0,0.0,20220509
204210,모두투어리츠,2016-09-22,5210,40699438000,22851,117574250,7826815,,,,,,,20220509
003850,보령,1988-10-24,12150,838018000000,146357,1795146900,68690000,7192.0,17.63,1.69,689.0,0.82,100.0,20220509
001270,부국증권,1988-07-19,24900,256654678500,2322,57596100,10369886,74017.0,2.87,0.34,8672.0,6.43,1600.0,20220509
028050,삼성엔지니어링,1996-12-24,26650,5213600000000,1168919,31038612550,196000000,10216.0,14.03,2.61,1900.0,0.0,0.0,20220509
005930,삼성전자,1975-06-11,66100,395199604810000,11755356,780734538400,5969782550,43611.0,11.44,1.52,5777.0,2.18,1444.0,20220509
068290,삼성출판사,2002-08-05,27600,276500000000,28741,805853350,10000000,18982.0,87.34,1.45,316.0,0.72,200.0,20220509
003230,삼양식품,1975-06-30,89000,675711445500,133575,11990278800,7533015,51826.0,11.9,1.72,7481.0,1.12,1000.0,20220509
003720,삼영화학공업,1976-06-30,3040,103530000000,197892,602484370,34000000,1434.0,29.8,2.12,102.0,0.0,0.0,20220509
004380,삼익THK,1989-09-26,13500,283500000000,65819,895876200,21000000,9536.0,23.64,1.42,571.0,2.22,300.0,20220509
010960,삼호개발,2005-05-12,4985,124875000000,39967,200846775,25000000,9871.0,8.03,0.51,621.0,3.81,190.0,20220509
001290,상상인증권,1988-09-23,1125,121425351190,271628,306767655,107456063,2041.0,11.84,0.55,95.0,0.0,0.0,20220509
136490,선진,2011-02-16,13550,324591594600,591732,8251958900,23779604,17371.0,7.51,0.78,1804.0,0.74,100.0,20220509
002420,세기상사,1968-12-27,10800,45543873000,15481,166921950,4276420,4561.0,0.0,2.37,0.0,0.0,0.0,20220509
004490,세방전지,1987-11-28,68900,956200000000,46727,3234334300,14000000,88025.0,10.95,0.78,6291.0,0.87,600.0,20220509
016590,신대양제지,1995-12-21,94100,378799508000,4557,423364400,4029782,139181.0,6.43,0.68,14644.0,1.33,1250.0,20220509
029530,신도리코,1996-12-24,32750,331128952650,14273,469333200,10080029,99889.0,3.33,0.33,9845.0,4.58,1500.0,20220509
031430,신세계인터내셔날,2011-07-14,31900,1142400000000,256792,8056215500,35700000,20084.0,13.87,1.59,2300.0,0.94,300.0,20220509
002870,신풍제지,1976-06-30,2135,74287237500,684382,1484329635,34958700,3226.0,0.0,0.66,0.0,2.81,60.0,20220509
293940,신한알파리츠,2018-08-08,7630,564800440950,137038,1048576260,73830123,,,,,,,20220509
055550,신한지주,2001-09-10,42400,21671467034750,871130,36823233050,512934131,88548.0,5.8,0.48,7308.0,4.62,1960.0,20220509
003620,쌍용자동차,1975-05-29,2770,415056805540,0,0,149840002,0.0,0.0,0.0,0.0,0.0,0.0,20220509
137310,에스디바이오센서,2021-07-16,45850,4740155102700,116978,5433971200,103271353,21658.0,4.2,2.12,10918.0,2.76,1266.0,20220509
078520,에이블씨엔씨,2011-09-07,6940,188693543820,55969,395727350,27033459,5784.0,0.0,1.2,0.0,0.0,0.0,20220509
012280,영화금속,1990-01-25,1520,79824784975,1024465,1551874675,53394505,1156.0,0.0,1.31,0.0,0.0,0.0,20220509
007310,오뚜기,1994-08-12,448500,1628523573500,3824,1708583000,3671981,442610.0,11.79,1.01,38054.0,1.78,8000.0,20220509
105840,우진,2010-07-26,15050,301805667900,35362163,532720923900,20323614,7106.0,0.0,2.12,0.0,0.66,100.0,20220509
008600,윌비스,1989-07-28,1240,83708868555,517095,653388725,67236039,1711.0,0.0,0.72,0.0,0.0,0.0,20220509
033270,유나이티드,2007-10-23,27600,450793810500,65252,1811981450,16244822,20259.0,14.3,1.36,1930.0,1.34,370.0,20220509
023800,인지컨트롤스,1997-06-23,10750,165598700400,76234,826230450,15333213,12678.0,45.94,0.85,234.0,1.4,150.0,20220509
129260,인터지스,2011-12-16,3430,102630165300,305111,1073588035,29747874,7246.0,6.61,0.47,519.0,2.92,100.0,20220509
013360,일성건설,1989-12-02,4685,252836438400,1038846,5013282365,54024880,2021.0,47.81,2.32,98.0,0.64,30.0,20220509
081000,일진다이아,2004-12-22,26350,373538242500,49998,1332277800,14202975,28934.0,44.06,0.91,598.0,1.52,400.0,20220509
