종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
095570,1.69,-0.6,2.8,28.85,17.83,12.22,20220506
006840,0.96,-2.09,-13.55,12.87,-18.09,-34.83,20220506
054620,-2.33,-5.28,-0.4,9.13,-23.48,-13.45,20220506
211270,0.32,-0.64,3.32,19.16,26.94,9.12,20220506
027410,-0.18,-0.35,5.19,16.31,-2.24,-20.25,20220506
282330,0.0,3.59,4.46,11.94,11.61,16.46,20220506
138930,0.13,0.25,-1.25,-4.59,-8.99,0.0,20220506
001460,-1.0,-2.09,0.0,-3.78,3.36,17.24,20220506
001465,0.0,-0.56,-1.93,-1.93,2.01,9.88,20220506
001040,0.59,-1.61,1.66,4.65,-12.47,-15.25,20220506
035760,-1.13,-4.38,-5.56,-5.27,-26.83,-21.11,20220506
00104K,0.54,-1.18,1.62,4.74,-9.41,-7.28,20220506
000120,-1.23,-2.03,-5.12,-0.41,-16.9,-29.12,20220506
011150,-2.17,-3.8,-3.91,8.71,5.32,-11.07,20220506
011155,0.93,-9.17,-14.29,-10.53,-18.25,-22.33,20220506
001045,-0.19,0.19,2.53,10.95,-13.89,-14.86,20220506
097950,-1.03,-3.77,-1.54,4.08,-0.26,-6.01,20220506
097955,-0.87,-3.65,1.78,5.86,-10.68,-12.28,20220506
051500,-1.84,-3.03,7.23,18.67,20.45,52.28,20220506
058820,-2.21,-4.76,-8.15,-8.01,-20.72,-30.26,20220506
023460,-2.92,-0.85,-7.17,9.39,-30.13,-41.46,20220506
000590,-0.15,-0.73,-0.15,7.06,5.25,-17.83,20220506
012030,-0.5,1.52,-5.63,12.92,-1.95,9.84,20220506
367340,0.0,-2.46,2.11,1.63,2.59,4.31,20220506
367360,0.0,-0.9,1.85,1.61,4.5,5.25,20220506
016610,-1.08,-0.92,-3.88,-1.83,-8.0,-12.5,20220506
005830,-0.45,-1.63,-8.44,2.95,11.26,32.4,20220506
000990,-2.5,-2.22,-5.83,-10.66,12.59,19.49,20220506
000995,-0.8,-1.29,-1.78,0.81,-0.3,-18.69,20220506
139130,1.8,1.01,-2.9,-5.45,-10.59,0.22,20220506
001880,-0.38,-4.04,-8.26,-6.62,-11.97,-25.64,20220506
000215,0.74,1.87,1.24,13.91,1.49,-28.28,20220506
37550K,-2.41,-6.39,-59.24,-46.83,-55.09,-56.4,20220506
068790,-0.96,-1.58,-5.47,-5.33,-3.57,-27.34,20220506
004840,-2.53,6.25,7.43,14.91,4.71,-19.5,20220506
155660,-3.27,-2.4,2.69,20.37,2.85,-12.75,20220506
069730,-5.02,-2.19,11.43,38.21,0.48,-4.0,20220506
017940,3.2,2.99,8.86,9.9,-2.27,7.17,20220506
050120,-3.53,-3.53,-9.88,-10.65,3.79,-15.17,20220506
114090,-1.35,-5.81,-7.59,2.46,-9.03,-8.75,20220506
900290,0.0,0.0,-1.21,-15.22,28.81,28.81,20220506
078930,2.14,9.15,6.95,19.4,11.45,2.25,20220506
083450,-1.94,-2.56,-3.65,-17.39,8.19,15.81,20220506
001250,-2.63,-3.59,66.1,97.11,69.6,52.41,20220506
078935,0.81,3.19,3.05,9.9,0.54,0.54,20220506
078150,0.62,0.62,2.97,3.19,-3.77,-31.3,20220506
012630,-1.35,0.97,0.0,-4.7,-30.48,-41.37,20220506
089470,-0.93,1.91,1.05,-1.13,-13.73,-20.71,20220506
294870,-1.63,0.67,-1.31,-3.21,-40.78,-46.17,20220506
267250,0.34,0.69,6.92,18.23,-5.63,-23.07,20220506
097230,-1.74,0.38,-1.25,8.53,-13.11,-8.68,20220506
036640,-1.81,1.2,-5.59,15.33,-11.94,25.21,20220506
335870,0.0,0.0,4.49,13.46,7.71,10.88,20220506
351340,0.0,0.0,5.79,11.76,11.24,8.45,20220506
099520,0.0,0.0,0.0,0.0,0.0,0.0,20220506
175330,-0.91,-2.79,1.64,3.57,1.16,16.0,20220506
950170,-1.33,-1.03,-29.47,1.82,-33.0,-31.63,20220506
234080,-1.01,-2.33,0.34,12.21,-5.47,-21.81,20220506
035900,-0.33,0.67,-4.47,35.14,12.83,93.21,20220506
024840,-2.49,9.05,12.98,16.34,17.79,-5.81,20220506
024120,1.41,5.26,15.38,16.88,8.76,-23.32,20220506
002380,0.14,8.18,11.6,-8.74,16.33,15.06,20220506
021320,-1.47,-1.57,-3.89,12.05,-5.15,-14.25,20220506
344820,-3.21,-3.05,-2.9,-0.82,1.01,-4.44,20220506
036670,-1.66,-1.66,4.63,12.56,7.1,-1.66,20220506
009070,1.81,-1.9,-2.52,4.56,-5.93,-29.34,20220506
009440,-0.22,6.57,5.95,10.46,-11.5,-1.52,20220506
112190,-2.39,-4.56,-4.67,0.65,-19.27,0.91,20220506
151860,-1.44,-6.16,-13.29,11.38,-3.18,104.78,20220506
046440,-1.16,-2.74,-14.04,-8.2,-8.49,-22.64,20220506
016380,1.63,-11.56,73.02,113.73,92.92,7.92,20220506
016385,12.25,3.15,148.91,222.54,263.11,112.69,20220506
035600,-1.47,-3.74,-25.22,-4.56,-8.47,-17.08,20220506
001390,-2.07,-9.76,-4.53,37.57,-7.9,30.92,20220506
122450,-1.44,-1.33,7.49,22.93,4.34,-20.89,20220506
058400,-1.52,-1.89,-6.47,-0.76,-13.04,-34.01,20220506
114450,-1.97,-3.24,-10.88,-15.06,-18.75,-43.58,20220506
025000,-0.74,-1.47,-1.65,4.47,-8.52,-25.93,20220506
092230,-1.09,-0.78,3.08,4.79,-4.22,-8.37,20220506
000040,-1.17,2.43,-5.28,4.07,-15.45,-31.46,20220506
030200,0.57,-0.7,-4.18,11.79,15.8,21.33,20220506
033780,-0.48,-0.12,1.6,5.5,-3.51,-0.84,20220506
058850,-1.22,-0.41,2.1,7.28,-8.82,-19.67,20220506
058860,-1.34,0.78,3.4,12.88,2.99,-10.86,20220506
060370,-1.7,-6.01,1.94,5.66,-2.03,-14.35,20220506
093050,-1.79,-1.79,4.63,18.89,1.86,4.63,20220506
034220,-1.45,1.79,-8.82,-11.89,-16.22,-29.4,20220506
051900,-2.37,-9.24,-7.82,-16.33,-33.41,-47.82,20220506
051905,-1.98,-5.13,-7.55,-13.8,-25.86,-35.14,20220506
032640,-1.08,-1.43,-1.43,1.1,-3.83,-1.43,20220506
011070,-2.18,-3.72,-10.28,-3.59,55.2,71.87,20220506
066570,-0.43,-1.29,0.88,-10.16,-6.12,-24.09,20220506
066575,-0.86,-1.03,-0.17,-5.56,-9.28,-20.08,20220506
037560,-4.51,-1.55,18.69,32.29,-8.1,27.77,20220506
