종목코드,종목명,산업,섹터,날짜
096770,SK이노베이션,에너지,에너지,20220413
010950,S-Oil,에너지,에너지,20220413
267250,HD현대,에너지,에너지,20220413
078930,GS,에너지,에너지,20220413
006120,SK디스커버리,에너지,에너지,20220413
005090,SGC에너지,에너지,에너지,20220413
001390,KG케미칼,에너지,에너지,20220413
041590,플래스크,에너지,에너지,20220413
060900,대한그린파워,에너지,에너지,20220413
002960,한국쉘석유,에너지,에너지,20220413
046120,오르비텍,에너지,에너지,20220413
093230,이아이디,에너지,에너지,20220413
137950,제이씨케미칼,에너지,에너지,20220413
322000,현대에너지솔루션,에너지,에너지,20220413
099220,SDN,에너지,에너지,20220413
091090,세원이앤씨,에너지,에너지,20220413
128820,대성산업,에너지,에너지,20220413
024060,흥구석유,에너지,에너지,20220413
014530,극동유화,에너지,에너지,20220413
003650,미창석유,에너지,에너지,20220413
013810,스페코,에너지,에너지,20220413
270520,지엔원에너지,에너지,에너지,20220413
095910,에스에너지,에너지,에너지,20220413
000440,중앙에너비스,에너지,에너지,20220413
043200,파루,에너지,에너지,20220413
078940,코드네이처,에너지,에너지,20220413
294630,서남,에너지,에너지,20220413
012320,경동인베스트,에너지,에너지,20220413
313760,윌링스,에너지,에너지,20220413
051910,LG화학,소재,소재,20220413
005490,POSCO홀딩스,소재,소재,20220413
010130,고려아연,소재,소재,20220413
009830,한화솔루션,소재,소재,20220413
003670,포스코케미칼,소재,소재,20220413
004020,현대제철,소재,소재,20220413
011790,SKC,소재,소재,20220413
011170,롯데케미칼,소재,소재,20220413
011780,금호석유,소재,소재,20220413
010060,OCI,소재,소재,20220413
014680,한솔케미칼,소재,소재,20220413
086520,에코프로,소재,소재,20220413
004000,롯데정밀화학,소재,소재,20220413
285130,SK케미칼,소재,소재,20220413
298050,효성첨단소재,소재,소재,20220413
001230,동국제강,소재,소재,20220413
120110,코오롱인더,소재,소재,20220413
005070,코스모신소재,소재,소재,20220413
093370,후성,소재,소재,20220413
000210,DL,소재,소재,20220413
