종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
000210,DL,1976-02-02,65400,1370514813600,405927,26503665700,20955884,173922.0,1.56,0.38,41881.0,2.91,1900.0,20220503
004840,DRB동일,1976-05-21,6070,118583500000,3800792,23247923790,19930000,18916.0,0.0,0.32,0.0,0.49,30.0,20220503
155660,DSR,2013-05-15,6780,108800000000,446915,3049457370,16000000,10991.0,8.83,0.62,768.0,0.74,50.0,20220503
078930,GS,2004-08-05,45100,4185837778900,281162,12641199550,92915378,108672.0,2.95,0.42,15304.0,4.43,2000.0,20220503
001390,KG케미칼,1989-08-25,39800,555337144800,481045,19487705900,13866096,34343.0,6.92,1.16,5749.0,1.26,500.0,20220503
025000,KPX케미칼,1994-12-27,54200,260876000000,3086,166604800,4840000,119120.0,5.35,0.46,10123.0,5.07,2750.0,20220503
058860,KTis,2010-12-17,2655,92573320000,78074,206643300,34802000,5909.0,3.46,0.45,767.0,3.77,100.0,20220503
011070,LG이노텍,2008-07-24,344000,8153318361500,170683,58761596000,23667107,140050.0,9.16,2.46,37537.0,0.87,3000.0,20220503
037560,LG헬로비전,2012-11-09,6430,501081216550,1124661,7352986000,77446865,8424.0,18.48,0.76,348.0,1.71,110.0,20220503
108670,LX하우시스,2009-04-20,56600,507570122000,89003,5076344900,8967670,86527.0,43.34,0.65,1306.0,0.53,300.0,20220503
383800,LX홀딩스,2021-05-27,9960,760518479300,155910,1555749010,76280690,18209.0,5.42,0.55,1839.0,0.0,0.0,20220503
023150,MH에탄올,1996-12-24,11450,84853049000,144759,1679909000,7378526,9654.0,12.61,1.19,908.0,3.06,350.0,20220503
035420,NAVER,2008-11-28,282000,46425891055000,416967,117666177000,164049085,157641.0,2.54,1.79,110854.0,0.18,511.0,20220503
010060,OCI,1985-07-09,110000,2611506124500,164772,18046751000,23849371,128783.0,4.02,0.85,27387.0,1.82,2000.0,20220503
402340,SK스퀘어,2021-11-29,51400,7271433149400,350796,18121664700,141467571,117868.0,19.37,0.44,2653.0,0.0,0.0,20220503
