종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
095570,0.0,0.3,-2.06,34.07,18.96,19.6,20220502
006840,-0.7,-3.39,-6.36,26.71,-19.43,-31.35,20220502
054620,0.75,-0.37,4.71,20.27,-25.42,10.79,20220502
211270,3.19,11.0,7.67,28.17,24.71,15.77,20220502
027410,-0.35,1.07,6.78,22.2,2.35,-17.95,20220502
282330,0.55,-0.55,1.39,12.35,12.69,18.95,20220502
138930,0.13,-1.38,-0.88,-1.87,-10.34,2.87,20220502
001460,0.0,1.34,1.45,1.0,4.36,25.69,20220502
001465,0.0,1.42,0.56,0.56,0.56,11.87,20220502
001040,0.0,0.58,3.33,9.57,-9.19,-8.9,20220502
035760,-1.41,1.69,-5.83,2.52,-28.57,-12.5,20220502
00104K,-0.26,1.2,3.55,7.21,-6.88,-2.45,20220502
000120,-0.41,0.41,-3.16,5.6,-13.73,-28.57,20220502
011150,2.25,-6.3,3.48,22.27,10.94,-2.16,20220502
011155,0.14,-7.56,-4.5,-1.77,-8.96,-12.39,20220502
001045,0.0,0.0,3.34,13.12,-13.91,-13.77,20220502
097950,0.88,-3.95,5.8,16.04,5.66,1.52,20220502
097955,0.0,-4.56,5.64,17.49,-8.25,-4.04,20220502
051500,3.27,0.35,14.04,38.7,29.64,78.08,20220502
058820,-1.69,1.91,-6.71,-0.78,-16.78,-26.52,20220502
023460,-0.43,-2.5,-8.41,18.18,-28.11,-34.55,20220502
000590,-1.6,-1.6,-5.72,8.86,4.16,-9.75,20220502
012030,-0.2,-1.0,-10.18,14.62,-3.14,6.24,20220502
367340,-1.57,1.38,3.04,3.53,3.04,2.56,20220502
367360,-0.45,0.45,3.26,5.23,4.24,5.98,20220502
016610,0.15,-1.36,-2.54,1.4,-7.79,-8.31,20220502
005830,-1.93,-5.44,-6.12,9.63,11.49,34.83,20220502
000990,-1.18,-3.32,-8.86,-9.72,16.35,20.98,20220502
000995,0.0,0.9,1.93,4.47,-3.37,-15.19,20220502
139130,-1.01,-3.8,-5.04,-4.12,-14.49,-0.11,20220502
001880,0.37,2.25,-6.51,-1.97,-7.3,-23.1,20220502
000215,-0.25,0.75,1.65,13.92,-0.74,-27.36,20220502
37550K,-0.41,-1.08,-56.32,-42.54,-52.71,-52.84,20220502
068790,-0.16,-0.79,-5.82,-0.32,-1.71,-26.46,20220502
004840,-0.74,-0.37,0.37,11.46,-3.05,-23.3,20220502
155660,2.1,11.66,4.29,33.33,-2.16,-5.82,20220502
069730,1.88,23.11,17.54,51.69,-0.91,5.18,20220502
017940,0.6,7.35,7.01,11.88,-3.82,9.57,20220502
050120,0.19,-4.42,-6.09,3.85,16.76,-3.4,20220502
114090,-0.97,0.99,0.66,15.85,-6.12,-6.4,20220502
900290,-1.22,-2.02,-3.2,-10.37,27.23,27.23,20220502
078930,1.95,1.6,1.37,16.17,5.44,3.48,20220502
083450,-0.64,-4.76,-4.17,-14.95,7.45,19.23,20220502
001250,-0.11,11.8,75.05,118.29,78.45,62.08,20220502
078935,0.97,1.39,1.53,10.3,-1.36,1.39,20220502
078150,1.24,-1.61,2.52,3.83,-3.75,-26.84,20220502
012630,0.14,-0.28,1.4,2.26,-31.37,-40.41,20220502
089470,-0.42,-2.19,-1.26,4.8,-20.02,-20.83,20220502
294870,0.67,-0.33,-0.33,4.5,-40.9,-46.07,20220502
267250,-0.34,-0.51,7.59,21.42,-8.07,-17.47,20220502
097230,0.76,-0.25,-1.86,12.02,-17.15,-8.97,20220502
036640,1.46,-1.42,-6.27,20.19,-17.8,29.59,20220502
335870,0.0,0.0,9.89,14.52,6.07,10.38,20220502
351340,0.0,0.0,9.2,11.76,9.45,9.2,20220502
