종목코드,종목명,산업,섹터,날짜
096770,SK이노베이션,에너지,에너지,20221102
010950,S-Oil,에너지,에너지,20221102
267250,HD현대,에너지,에너지,20221102
078930,GS,에너지,에너지,20221102
112610,씨에스윈드,에너지,에너지,20221102
006120,SK디스커버리,에너지,에너지,20221102
322000,현대에너지솔루션,에너지,에너지,20221102
005090,SGC에너지,에너지,에너지,20221102
018000,유니슨,에너지,에너지,20221102
001390,KG케미칼,에너지,에너지,20221102
002960,한국쉘석유,에너지,에너지,20221102
091090,세원이앤씨,에너지,에너지,20221102
126720,수산인더스트리,에너지,에너지,20221102
041590,플래스크,에너지,에너지,20221102
126880,제이엔케이히터,에너지,에너지,20221102
060900,대한그린파워,에너지,에너지,20221102
099220,SDN,에너지,에너지,20221102
046120,오르비텍,에너지,에너지,20221102
137950,제이씨케미칼,에너지,에너지,20221102
044490,태웅,에너지,에너지,20221102
012320,경동인베스트,에너지,에너지,20221102
003650,미창석유,에너지,에너지,20221102
014530,극동유화,에너지,에너지,20221102
128820,대성산업,에너지,에너지,20221102
093230,이아이디,에너지,에너지,20221102
083650,비에이치아이,에너지,에너지,20221102
024060,흥구석유,에너지,에너지,20221102
389260,대명에너지,에너지,에너지,20221102
095910,에스에너지,에너지,에너지,20221102
013810,스페코,에너지,에너지,20221102
270520,지엔원에너지,에너지,에너지,20221102
000440,중앙에너비스,에너지,에너지,20221102
038870,에코바이오,에너지,에너지,20221102
065420,에스아이리소스,에너지,에너지,20221102
043200,파루,에너지,에너지,20221102
294630,서남,에너지,에너지,20221102
313760,윌링스,에너지,에너지,20221102
051910,LG화학,소재,소재,20221102
005490,POSCO홀딩스,소재,소재,20221102
009830,한화솔루션,소재,소재,20221102
010130,고려아연,소재,소재,20221102
003670,포스코케미칼,소재,소재,20221102
086520,에코프로,소재,소재,20221102
011170,롯데케미칼,소재,소재,20221102
004020,현대제철,소재,소재,20221102
011780,금호석유,소재,소재,20221102
011790,SKC,소재,소재,20221102
010060,OCI,소재,소재,20221102
014680,한솔케미칼,소재,소재,20221102
005070,코스모신소재,소재,소재,20221102
004000,롯데정밀화학,소재,소재,20221102
000210,DL,소재,소재,20221102
285130,SK케미칼,소재,소재,20221102
001230,동국제강,소재,소재,20221102
298050,효성첨단소재,소재,소재,20221102
120110,코오롱인더,소재,소재,20221102
001570,금양,소재,소재,20221102
383310,에코프로에이치엔,소재,소재,20221102
121600,나노신소재,소재,소재,20221102
005420,코스모화학,소재,소재,20221102
093370,후성,소재,소재,20221102
005690,파미셀,소재,소재,20221102
005950,이수화학,소재,소재,20221102
103140,풍산,소재,소재,20221102
069260,TKG휴켐스,소재,소재,20221102
006650,대한유화,소재,소재,20221102
178920,PI첨단소재,소재,소재,20221102
014830,유니드,소재,소재,20221102
008730,율촌화학,소재,소재,20221102
007690,국도화학,소재,소재,20221102
004430,송원산업,소재,소재,20221102
161000,애경케미칼,소재,소재,20221102
014820,동원시스템즈,소재,소재,20221102
016380,KG스틸,소재,소재,20221102
002840,미원상사,소재,소재,20221102
101360,이엔드디,소재,소재,20221102
213500,한솔제지,소재,소재,20221102
008350,남선알미늄,소재,소재,20221102
003030,세아제강지주,소재,소재,20221102
078130,국일제지,소재,소재,20221102
001430,세아베스틸지주,소재,소재,20221102
102710,이엔에프테크놀로지,소재,소재,20221102
281740,레이크머티리얼즈,소재,소재,20221102
004890,동일산업,소재,소재,20221102
151860,KG ETS,소재,소재,20221102
104830,원익머트리얼즈,소재,소재,20221102
298000,효성화학,소재,소재,20221102
033500,동성화인텍,소재,소재,20221102
025860,남해화학,소재,소재,20221102
003240,태광산업,소재,소재,20221102
005010,휴스틸,소재,소재,20221102
002310,아세아제지,소재,소재,20221102
220260,켐트로스,소재,소재,20221102
306200,세아제강,소재,소재,20221102
016590,신대양제지,소재,소재,20221102
006110,삼아알미늄,소재,소재,20221102
268280,미원에스씨,소재,소재,20221102
089010,켐트로닉스,소재,소재,20221102
009520,포스코엠텍,소재,소재,20221102
100130,동국S&C,소재,소재,20221102
055490,테이팩스,소재,소재,20221102
084010,대한제강,소재,소재,20221102
034810,해성산업,소재,소재,20221102
002240,고려제강,소재,소재,20221102
104480,티케이케미칼,소재,소재,20221102
002810,삼영무역,소재,소재,20221102
017890,한국알콜,소재,소재,20221102
012610,경인양행,소재,소재,20221102
139990,아주스틸,소재,소재,20221102
102260,동성케미컬,소재,소재,20221102
251370,와이엠티,소재,소재,20221102
104700,한국철강,소재,소재,20221102
005160,동국산업,소재,소재,20221102
005810,풍산홀딩스,소재,소재,20221102
002710,TCC스틸,소재,소재,20221102
138490,코오롱플라스틱,소재,소재,20221102
002030,아세아,소재,소재,20221102
115390,락앤락,소재,소재,20221102
011500,한농화성,소재,소재,20221102
001340,백광산업,소재,소재,20221102
001780,알루코,소재,소재,20221102
081000,일진다이아,소재,소재,20221102
009580,무림P&P,소재,소재,20221102
018470,조일알미늄,소재,소재,20221102
008970,동양철관,소재,소재,20221102
004150,한솔홀딩스,소재,소재,20221102
033310,엠투엔,소재,소재,20221102
004560,현대비앤지스틸,소재,소재,20221102
000180,성창기업지주,소재,소재,20221102
009190,대양금속,소재,소재,20221102
014580,태경비케이,소재,소재,20221102
239890,피엔에이치테크,소재,소재,20221102
025000,KPX케미칼,소재,소재,20221102
083420,그린케미칼,소재,소재,20221102
006380,카프로,소재,소재,20221102
001940,KISCO홀딩스,소재,소재,20221102
107590,미원홀딩스,소재,소재,20221102
081150,티플랙스,소재,소재,20221102
357550,석경에이티,소재,소재,20221102
000970,한국주철관,소재,소재,20221102
014160,대영포장,소재,소재,20221102
058430,포스코스틸리온,소재,소재,20221102
002360,SH에너지화학,소재,소재,20221102
004090,한국석유,소재,소재,20221102
001080,만호제강,소재,소재,20221102
004540,깨끗한나라,소재,소재,20221102
015890,태경산업,소재,소재,20221102
251970,펌텍코리아,소재,소재,20221102
023450,동남합성,소재,소재,20221102
003720,삼영화학,소재,소재,20221102
000480,조선내화,소재,소재,20221102
136410,아셈스,소재,소재,20221102
272550,삼양패키징,소재,소재,20221102
290380,대유,소재,소재,20221102
115960,연우,소재,소재,20221102
006740,영풍제지,소재,소재,20221102
012800,대창,소재,소재,20221102
120240,대정화금,소재,소재,20221102
023600,삼보판지,소재,소재,20221102
100250,진양홀딩스,소재,소재,20221102
025550,한국선재,소재,소재,20221102
032560,황금에스티,소재,소재,20221102
069460,대호에이엘,소재,소재,20221102
024090,디씨엠,소재,소재,20221102
002200,한국수출포장,소재,소재,20221102
124500,아이티센,소재,소재,20221102
023440,제이스코홀딩스,소재,소재,20221102
019440,세아특수강,소재,소재,20221102
294140,레몬,소재,소재,20221102
010040,한국내화,소재,소재,20221102
042040,케이피엠테크,소재,소재,20221102
009460,한창제지,소재,소재,20221102
011280,태림포장,소재,소재,20221102
003780,진양산업,소재,소재,20221102
007280,한국특강,소재,소재,20221102
006840,AK홀딩스,소재,소재,20221102
025820,이구산업,소재,소재,20221102
247660,나노씨엠에스,소재,소재,20221102
036670,KCI,소재,소재,20221102
006890,태경케미컬,소재,소재,20221102
036640,HRS,소재,소재,20221102
014190,원익큐브,소재,소재,20221102
396300,세아메카닉스,소재,소재,20221102
037370,EG,소재,소재,20221102
008260,NI스틸,소재,소재,20221102
009200,무림페이퍼,소재,소재,20221102
092230,KPX홀딩스,소재,소재,20221102
053260,금강철강,소재,소재,20221102
039240,경남스틸,소재,소재,20221102
007590,동방아그로,소재,소재,20221102
008420,문배철강,소재,소재,20221102
120030,조선선재,소재,소재,20221102
058650,세아홀딩스,소재,소재,20221102
134380,미원화학,소재,소재,20221102
222420,쎄노텍,소재,소재,20221102
002100,경농,소재,소재,20221102
101240,씨큐브,소재,소재,20221102
045060,오공,소재,소재,20221102
021050,서원,소재,소재,20221102
075970,동국알앤에스,소재,소재,20221102
009620,삼보산업,소재,소재,20221102
352940,인바이오,소재,소재,20221102
071090,하이스틸,소재,소재,20221102
177830,파버나인,소재,소재,20221102
027970,세하,소재,소재,20221102
003830,대한화섬,소재,소재,20221102
002220,한일철강,소재,소재,20221102
037230,한국팩키지,소재,소재,20221102
004780,대륙제관,소재,소재,20221102
133820,화인베스틸,소재,소재,20221102
014440,영보화학,소재,소재,20221102
128660,피제이메탈,소재,소재,20221102
026940,부국철강,소재,소재,20221102
048470,대동스틸,소재,소재,20221102
187790,나노,소재,소재,20221102
017480,삼현철강,소재,소재,20221102
069730,DSR제강,소재,소재,20221102
097870,효성오앤비,소재,소재,20221102
010640,진양폴리,소재,소재,20221102
058450,일야,소재,소재,20221102
017650,대림제지,소재,소재,20221102
037760,쎄니트,소재,소재,20221102
004450,삼화왕관,소재,소재,20221102
050760,에스폴리텍,소재,소재,20221102
318000,KBG,소재,소재,20221102
001550,조비,소재,소재,20221102
012620,원일특강,소재,소재,20221102
012160,영흥,소재,소재,20221102
110020,전진바이오팜,소재,소재,20221102
066430,와이오엠,소재,소재,20221102
079170,한창산업,소재,소재,20221102
021040,대호특수강,소재,소재,20221102
051630,진양화학,소재,소재,20221102
002820,SUN&L,소재,소재,20221102
001810,무림SP,소재,소재,20221102
155660,DSR,소재,소재,20221102
007770,한일화학,소재,소재,20221102
008370,원풍,소재,소재,20221102
024070,WISCOM,소재,소재,20221102
286750,나노브릭,소재,소재,20221102
340440,세림B&G,소재,소재,20221102
002870,신풍,소재,소재,20221102
196700,웹스,소재,소재,20221102
010420,한솔PNS,소재,소재,20221102
115570,스타플렉스,소재,소재,20221102
140520,대창스틸,소재,소재,20221102
