종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
004840,DRB동일,1976-05-21,4295,85599350000,3127,13159095,19930000,18916.0,0.0,0.23,0.0,0.7,30.0,20221212
155660,DSR,2013-05-15,6090,97440000000,23671,144082100,16000000,10991.0,7.93,0.55,768.0,0.82,50.0,20221212
078930,GS,2004-08-05,46000,4274107388000,66322,3042493850,92915378,108672.0,3.01,0.42,15304.0,4.35,2000.0,20221212
294870,HDC현대산업개발,2018-06-12,10550,695322331500,201279,2122324800,65907330,43665.0,3.94,0.24,2679.0,5.69,600.0,20221212
001390,KG케미칼,1989-08-25,22950,318226903200,36622,845652200,13866096,34343.0,3.99,0.67,5749.0,2.18,500.0,20221212
025000,KPX케미칼,1994-12-27,50300,243452000000,889,44422550,4840000,119120.0,4.97,0.42,10123.0,5.47,2750.0,20221212
044450,KSS해운,2007-10-26,9480,218854142400,6196,58636240,23085880,15261.0,3.8,0.62,2497.0,3.69,350.0,20221212
058860,KTis,2010-12-17,2530,88049060000,25254,62927325,34802000,5909.0,3.3,0.43,767.0,3.95,100.0,20221212
011070,LG이노텍,2008-07-24,282000,6674124174000,135740,38175528000,23667107,140050.0,7.51,2.01,37537.0,1.06,3000.0,20221212
037560,LG헬로비전,2012-11-09,5220,404272635300,2082902,11270202880,77446865,8424.0,15.0,0.62,348.0,2.11,110.0,20221212
108670,LX하우시스,2009-04-20,33950,304452396500,20406,694747700,8967670,86527.0,26.0,0.39,1306.0,0.88,300.0,20221212
383800,LX홀딩스,2021-05-27,9150,697968313500,63605,580389500,76280690,18209.0,4.98,0.5,1839.0,0.0,0.0,20221212
023150,MH에탄올,1996-12-24,7980,58880637480,5786,45817570,7378526,9654.0,8.79,0.83,908.0,4.39,350.0,20221212
010060,OCI,1985-07-09,93800,2237070999800,129219,12072802200,23849371,128783.0,3.42,0.73,27387.0,2.13,2000.0,20221212
178920,PI첨단소재,2021-08-09,30000,880989660000,127800,3884082500,29366322,11097.0,13.77,2.7,2179.0,3.63,1090.0,20221212
402340,SK스퀘어,2021-11-29,36100,5106979313100,164522,5884992300,141467571,117868.0,13.61,0.31,2653.0,0.0,0.0,20221212
096770,SK이노베이션,2007-07-25,168000,15534214752000,250523,42113224000,92465564,206117.0,46.15,0.82,3640.0,1.49,2508.0,20221212
011810,STX,1990-09-12,5950,170297651300,761616,4477626570,28621454,2337.0,0.0,2.55,0.0,0.0,0.0,20221212
024070,WISCOM,1996-11-22,2755,42224336690,13839,38164150,15326438,7839.0,34.87,0.35,79.0,1.81,50.0,20221212
011420,갤럭시아에스엠,1989-11-14,1895,52206575380,73227,141882710,27549644,1200.0,14.14,1.58,134.0,0.0,0.0,20221212
002100,경농,1977-06-30,10550,205963166250,21765,228822900,19522575,11888.0,11.85,0.89,890.0,3.32,350.0,20221212
007690,국도화학,1989-08-05,46900,422597890400,10106,468877950,9010616,92708.0,2.2,0.51,21321.0,4.69,2200.0,20221212
014530,극동유화,1991-01-31,3945,137559861900,108480,425337140,34869420,5350.0,11.64,0.74,339.0,4.06,160.0,20221212
090350,노루페인트,2006-07-03,8190,163800000000,26451,216557610,20000000,16859.0,11.6,0.49,706.0,3.36,275.0,20221212
005250,녹십자홀딩스,1978-08-28,17650,830047906500,129628,2323118050,47028210,22586.0,14.44,0.78,1222.0,2.27,400.0,20221212
353200,대덕전자,2020-05-21,21950,1084701503750,264277,5817427050,49416925,13237.0,17.95,1.66,1223.0,1.37,300.0,20221212
128820,대성산업,2010-07-30,4145,187501056310,256610,1057427515,45235478,12567.0,0.0,0.33,0.0,0.0,0.0,20221212
047040,대우건설,2001-03-23,4480,1861989418240,1174467,5285793620,415622638,7817.0,3.8,0.57,1180.0,0.0,0.0,20221212
000430,대원강업,1977-06-22,3310,205220000000,131957,436031660,62000000,7461.0,0.0,0.44,0.0,3.02,100.0,20221212
006040,동원산업,1989-03-07,52100,2604096846500,44672,2348344800,49982665,84257.0,5.25,0.62,9921.0,1.92,1000.0,20221212
000020,동화약품,1976-03-24,9520,265907594400,130455,1231895920,27931470,12534.0,14.71,0.76,647.0,1.89,180.0,20221212
336260,두산퓨얼셀,2019-10-18,32550,2131820781300,167656,5454412150,65493726,6332.0,307.08,5.14,106.0,0.0,0.0,20221212
115390,락앤락,2010-01-28,6500,326302886000,71933,466686980,50200444,13779.0,20.9,0.47,311.0,0.0,0.0,20221212
286940,롯데정보통신,2018-07-27,22750,350266530250,19452,443346900,15396331,28633.0,9.93,0.79,2291.0,3.08,700.0,20221212
