종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
000210,DL,1976-02-02,59600,1251066274800,62349,3705717100,20955884,173922.0,1.42,0.34,41881.0,3.19,1900.0,20221006
004840,DRB동일,1976-05-21,4205,84104600000,9433,40117610,19930000,18916.0,0.0,0.22,0.0,0.71,30.0,20221006
155660,DSR,2013-05-15,4690,75040000000,14084,65819690,16000000,10991.0,6.11,0.43,768.0,1.07,50.0,20221006
078930,GS,2004-08-05,44100,4097568169800,154159,6758338400,92915378,108672.0,2.88,0.41,15304.0,4.54,2000.0,20221006
294870,HDC현대산업개발,2018-06-12,10850,708503797500,141140,1517068050,65907330,43665.0,4.05,0.25,2679.0,5.53,600.0,20221006
001390,KG케미칼,1989-08-25,22200,308520636000,66770,1486321750,13866096,34343.0,3.86,0.65,5749.0,2.25,500.0,20221006
025000,KPX케미칼,1994-12-27,48100,233046000000,538,25889650,4840000,119120.0,4.75,0.4,10123.0,5.72,2750.0,20221006
044450,KSS해운,2007-10-26,9200,212390096000,15924,145202690,23085880,15261.0,3.68,0.6,2497.0,3.8,350.0,20221006
058860,KTis,2010-12-17,2540,88049060000,40041,102119050,34802000,5909.0,3.31,0.43,767.0,3.94,100.0,20221006
011070,LG이노텍,2008-07-24,299000,7064631439500,362202,106723368000,23667107,140050.0,7.97,2.13,37537.0,1.0,3000.0,20221006
037560,LG헬로비전,2012-11-09,4440,344638549250,132769,588456025,77446865,8424.0,12.76,0.53,348.0,2.48,110.0,20221006
108670,LX하우시스,2009-04-20,33850,304004013000,12987,440491900,8967670,86527.0,25.92,0.39,1306.0,0.89,300.0,20221006
383800,LX홀딩스,2021-05-27,8380,636180954600,91112,760311040,76280690,18209.0,4.56,0.46,1839.0,0.0,0.0,20221006
023150,MH에탄올,1996-12-24,7750,57036005980,9481,72905780,7378526,9654.0,8.54,0.8,908.0,4.52,350.0,20221006
010060,OCI,1985-07-09,96800,2308619112800,375905,36632765600,23849371,128783.0,3.53,0.75,27387.0,2.07,2000.0,20221006
178920,PI첨단소재,2021-08-09,33300,977898522600,64514,2151105000,29366322,11097.0,15.28,3.0,2179.0,3.27,1090.0,20221006
402340,SK스퀘어,2021-11-29,38950,5496015133350,210616,8178243700,141467571,117868.0,14.68,0.33,2653.0,0.0,0.0,20221006
096770,SK이노베이션,2007-07-25,153000,14193464074000,469029,72198030500,92465564,206117.0,42.03,0.74,3640.0,1.64,2508.0,20221006
