종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
095570,1.33,6.64,3.39,-11.98,-12.23,21.03,34.36,20230113
006840,0.0,0.93,-4.71,30.65,1.89,-18.59,-36.22,20230113
054620,-1.14,-4.76,-2.26,37.71,63.11,8.79,81.31,20230113
265520,0.0,1.6,-0.26,9.83,14.11,-21.97,-24.0,20230113
211270,5.71,10.94,-3.65,23.97,-4.52,-30.36,28.66,20230113
027410,0.34,3.67,6.31,38.17,7.48,-15.28,-9.03,20230113
282330,1.31,1.04,-7.42,11.53,2.93,32.53,31.19,20230113
138930,2.77,3.68,-4.09,11.39,10.34,-21.08,16.75,20230113
001460,0.0,1.35,3.44,2.04,-6.24,-24.06,15.18,20230113
001465,-0.35,-0.7,0.0,1.08,-8.74,-27.32,-8.14,20230113
001040,1.81,4.21,4.34,18.26,8.09,1.57,-18.65,20230113
035760,1.31,-0.3,1.62,28.13,0.3,-27.86,-40.5,20230113
00104K,0.82,2.2,4.07,11.75,4.8,3.63,-8.62,20230113
000120,4.39,4.51,1.42,14.44,-19.39,-27.58,-45.63,20230113
011150,2.06,8.98,24.68,33.59,10.02,-11.85,-30.1,20230113
011155,2.17,-0.88,13.45,8.45,-2.42,-24.57,-27.56,20230113
001045,0.91,2.79,-1.39,5.41,4.08,0.4,-17.85,20230113
097950,0.15,0.88,-9.26,-15.2,-14.68,-9.74,-20.6,20230113
097955,0.0,1.21,-1.76,0.3,0.9,-2.9,-7.2,20230113
051500,-1.85,2.58,-3.35,3.93,-14.07,9.48,55.26,20230113
058820,-1.78,2.08,-5.36,4.75,-17.11,-38.32,-61.59,20230113
023460,-3.72,-3.72,-2.81,6.58,43.89,9.51,3.81,20230113
065770,1.24,6.89,3.49,13.99,-24.88,-57.11,-28.82,20230113
000590,0.65,0.65,0.98,16.6,5.82,-5.36,1.48,20230113
012030,0.23,11.11,7.23,21.75,12.94,-7.96,6.71,20230113
367340,0.25,0.25,0.75,-1.7,-5.61,-4.72,-0.49,20230113
367360,0.5,0.5,1.25,-2.17,-5.59,-4.26,,20230113
016610,0.59,2.53,-9.07,-2.74,-13.06,-37.26,-21.83,20230113
005830,-2.88,-4.9,0.95,12.68,6.49,-1.54,47.98,20230113
000990,-0.8,2.86,2.49,5.62,0.82,-47.45,-27.39,20230113
000995,12.9,10.76,6.71,8.97,7.1,-12.5,-25.21,20230113
139130,3.25,3.53,-2.68,7.46,1.46,-21.1,3.81,20230113
000210,0.66,3.92,-4.54,4.1,-7.44,-7.01,-26.51,20230113
001880,1.05,-0.34,-3.99,-2.03,-29.17,-52.78,-63.92,20230113
000215,1.74,7.69,-2.37,5.74,-8.85,-7.16,-34.21,20230113
37550K,0.22,0.0,-10.0,-2.55,-16.24,-67.45,,20230113
068790,0.0,11.99,19.14,51.54,39.88,-4.95,-22.53,20230113
